gene,log2FC_KO_minus_WT,mean_log2_KO,mean_log2_WT,mean_norm_KO,mean_norm_WT,welch_t,welch_p,mwu_U,mwu_p,cohens_d,welch_fdr,mwu_fdr
Gm13477,-0.039911399329524144,5.543945942816011,5.583857342145535,47.14357641960966,52.360689193423994,-0.10277579365027464,0.9214433107570564,12.0,1.0,-0.06500111925326774,0.9896713731997667,1.0
Tmem132a,0.02880041465451555,10.01301481386324,9.984214399208724,1051.5239969746012,1081.0439700585307,0.1025390754672146,0.9215464765206999,17.0,0.42063492063492064,0.06485140552885844,0.9896713731997667,0.9481426886092655
Spdya,0.024940141179581765,4.563186644401655,4.538246503222073,22.96819287062196,23.219283617594858,0.1023966601248014,0.9216124800510633,12.0,1.0,0.06476133415770274,0.9896713731997667,1.0
Susd3,-0.043216580252100734,5.65400098741292,5.697217567665021,50.48615950427927,59.530303576294976,-0.10318495701742114,0.9216446555529318,13.0,1.0,-0.06525989688832506,0.9896713731997667,1.0
Ino80,0.02283202786574634,9.778417807710763,9.755585779845017,897.5615888681878,883.8701541209082,0.10150445121536986,0.9216491120284699,14.0,0.8412698412698413,0.06419705169720305,0.9896713731997667,0.9961866853217314
Ccp110,0.024861973990118358,8.22725295103402,8.202390977043901,304.421688182229,305.76388264638615,0.10162194007779453,0.9217927991461646,14.0,0.8412698412698413,0.06427135817819586,0.9897441576911379,0.9961866853217314
Plaa,-0.01819633459071035,10.228507459330729,10.246703793921439,1220.2990936001092,1230.5083001109517,-0.10128058215923935,0.9218482206479058,12.0,1.0,-0.06405546447420214,0.9897441576911379,1.0
Dynlt1f,0.024425939658947016,5.920036680455853,5.895610740796906,62.276546273106966,59.08694851761972,0.1023152975830457,0.9220544943169554,14.0,0.8412698412698413,0.06470987596806904,0.9897831263238769,0.9961866853217314
Cct5,-0.017379222583800313,11.887213031696305,11.904592254280105,3850.5614281410462,3881.571008952628,-0.10094426096531574,0.9221149924727878,12.0,1.0,-0.06384275627456498,0.9897831263238769,1.0
Amd1,-0.013227000151164958,9.760940427925888,9.774167428077053,874.8315504546911,880.6805110178996,-0.10066400066935725,0.9223507539253464,13.0,1.0,-0.06366550409997665,0.9897831263238769,1.0
Selenom,-0.04899455775365613,7.998842714873521,8.047837272627177,288.6867062601358,292.8059149789982,-0.10057710274392992,0.9223815343384465,11.0,0.8412698412698413,-0.06361054502631787,0.9897831263238769,0.9961866853217314
Siglec1,0.04523405616942,9.27822589695668,9.23299184078726,680.462511914521,655.8911231631538,0.1005829079509208,0.9224028970320097,14.0,0.8412698412698413,0.06361421656159386,0.9897831263238769,0.9961866853217314
D5Ertd605e,-0.043549423036084,6.069770401491354,6.113319824527438,73.15770729654102,73.74773651664486,-0.10051802358319914,0.9224702424464838,11.0,0.8412698412698413,-0.06357318008428578,0.9897831263238769,0.9961866853217314
Src,-0.025375863990648284,9.87443520389048,9.899811067881128,942.8490713013236,1012.7183664146403,-0.10235407406848819,0.92258438718817,16.0,0.5476190476190477,-0.06473440037079996,0.9897831263238769,0.9667676159243273
Tmem86b,-0.017746199348557035,5.421243355378141,5.438989554726698,42.46455857501442,43.08909084221106,-0.10028750231507809,0.9225946160963566,12.0,1.0,-0.06342738563301122,0.9897831263238769,1.0
Efna4,-0.014920664137040518,7.280362814860704,7.295283478997744,155.1549480042774,158.75433361663642,-0.1012333770592402,0.9225982643350775,14.0,0.8412698412698413,-0.06402560934756747,0.9897831263238769,0.9961866853217314
Rhbdf2,-0.03246226329775581,9.31802275297543,9.350485016273186,650.8713962376189,705.5733261999586,-0.10113891047688592,0.9226909260579245,13.0,1.0,-0.06396586343496519,0.9897831263238769,1.0
Cdc123,0.017231678604261447,9.483813159200764,9.466581480596503,727.9114364110337,714.398051347884,0.10017748174609896,0.9228126294379355,13.0,1.0,0.06335780251552288,0.9897831263238769,1.0
Lmo7,0.018819796045601578,8.872748688184686,8.853928892139084,476.29795703394103,469.77347575624447,0.09995346518181776,0.922844302110201,12.0,1.0,0.06321612200017605,0.9897831263238769,1.0
