Table S1, Yamamoto and Webb et al.
Gene	Cytoband	Mean Log2 Expression in CLDN4 High 	Mean Log2 Expression in CLDN4 Low 	Mean Log2 Standard Deviation in CLDN4 High 	Mean Log2 Standard Deviation in CLDN4 Low 	Log2 of Ratio (unlogged CLDN4 High/CLDN4 Low) 	p-Value	q-Value	Higher expression in
OR5B12	11q12.1	0.49	0.43	1.04	0.87	0.06	0.56200000000000006	0.76800000000000002	 CLDN4 High 
PGLYRP1	19q13.32	0.66	0.7	0.69	0.71	-0.05	0.56200000000000006	0.76800000000000002	 CLDN4 Low
INSRR	1q23.1	1.61	1.71	1.38	1.62	-0.1	0.56200000000000006	0.76800000000000002	 CLDN4 Low
ZNF826P	19p12	6.03	5.91	1.91	1.79	0.12	0.56200000000000006	0.76800000000000002	 CLDN4 High 
KRTAP10-5	21q22.3	0.02	0.03	0.09	0.13	-0.01	0.56200000000000006	0.76800000000000002	 CLDN4 Low
GPR137B	1q42.3	8.73	8.7899999999999991	0.87	0.84	-0.06	0.56200000000000006	0.76800000000000002	 CLDN4 Low
GNAO1	16q13	6.55	6.68	2.04	1.81	-0.13	0.56200000000000006	0.76800000000000002	 CLDN4 Low
SURF2	9q34.2	8.1	8.06	0.65	0.63	0.04	0.56200000000000006	0.76800000000000002	 CLDN4 High 
PEX11A	15q26.1	6.38	6.42	0.62	0.56999999999999995	-0.04	0.56200000000000006	0.76800000000000002	 CLDN4 Low
NDUFS5	1p34.3	11.27	11.22	0.87	0.72	0.05	0.56200000000000006	0.76800000000000002	 CLDN4 High 
LRRC24	8q24.3	6.17	6.09	1.18	1.24	0.08	0.56299999999999994	0.76900000000000002	 CLDN4 High 
GNL2	1p34.3	10.49	10.53	0.67	0.51	-0.04	0.56299999999999994	0.76900000000000002	 CLDN4 Low
ANKRD42	11q14.1	7.79	7.84	0.77	0.81	-0.05	0.56299999999999994	0.76900000000000002	 CLDN4 Low
CCDC88B	11q13.1	7.46	7.4	0.93	0.89	0.06	0.56299999999999994	0.76900000000000002	 CLDN4 High 
ZNF556	19p13.3	4.29	4.4000000000000004	1.55	1.57	-0.1	0.56299999999999994	0.76900000000000002	 CLDN4 Low
UGP2	2p15	10.57	10.6	0.41	0.38	-0.03	0.56299999999999994	0.76900000000000002	 CLDN4 Low
OCSTAMP	20q13.12	0.3	0.27	0.47	0.52	0.03	0.56299999999999994	0.76900000000000002	 CLDN4 High 
MGARP	4q31.1	4.53	4.43	1.49	1.66	0.1	0.56299999999999994	0.76900000000000002	 CLDN4 High 
AAR2	20q11.23	10.28	10.3	0.41	0.36	-0.03	0.56299999999999994	0.76900000000000002	 CLDN4 Low
ZNF707	8q24.3	8.39	8.4499999999999993	0.83	0.72	-0.05	0.56299999999999994	0.76900000000000002	 CLDN4 Low
RPS19	19q13.2	13.83	13.77	0.84	0.83	0.06	0.56299999999999994	0.76900000000000002	 CLDN4 High 
RTF1	15q15.1	10.55	10.58	0.49	0.48	-0.03	0.56299999999999994	0.76900000000000002	 CLDN4 Low
SMR3B	4q13.3	0.7	0.6	1.36	1.43	0.09	0.56299999999999994	0.76900000000000002	 CLDN4 High 
LAPTM5	1p35.2	11.8	11.89	1.34	1.34	-0.09	0.56299999999999994	0.76900000000000002	 CLDN4 Low
FAM25BP	10q11.22	0.08	7.0000000000000007E-2	0.23	0.21	0.01	0.56399999999999995	0.76900000000000002	 CLDN4 High 
TRMT2A	22q11.21	9.41	9.3699999999999992	0.55000000000000004	0.56999999999999995	0.04	0.56399999999999995	0.76900000000000002	 CLDN4 High 
CANX	5q35.3	13.82	13.86	0.59	0.49	-0.04	0.56399999999999995	0.77	 CLDN4 Low
SRCIN1	17q12	6.22	6.09	1.98	2.0499999999999998	0.13	0.56399999999999995	0.77	 CLDN4 High 
C1QB	1p36.12	11.78	11.68	1.43	1.5	0.1	0.56399999999999995	0.77	 CLDN4 High 
FGF16	Xq21.1	0.34	0.39	0.68	0.71	-0.05	0.56499999999999995	0.77	 CLDN4 Low
PRR5	22q13.31	8.51	8.4600000000000009	0.67	0.76	0.05	0.56499999999999995	0.77	 CLDN4 High 
CPEB4	5q35.2	8.84	8.7899999999999991	0.69	0.74	0.05	0.56499999999999995	0.77	 CLDN4 High 
KIAA1328	18q12.2	7.1	7.15	0.71	0.78	-0.05	0.56499999999999995	0.77	 CLDN4 Low
PMS2	7p22.1	9.0500000000000007	9.01	0.56999999999999995	0.56999999999999995	0.04	0.56499999999999995	0.77	 CLDN4 High 
MRPS22	3q23	9.5399999999999991	9.5	0.53	0.5	0.03	0.56499999999999995	0.77	 CLDN4 High 
EFHC2	Xp11.3	6.13	6.22	1.38	1.43	-0.09	0.56499999999999995	0.77100000000000002	 CLDN4 Low
PLPP5	8p11.23	8.99	8.94	0.69	0.74	0.05	0.56499999999999995	0.77100000000000002	 CLDN4 High 
SMUG1	12q13.13	9.35	9.31	0.55000000000000004	0.59	0.04	0.56499999999999995	0.77100000000000002	 CLDN4 High 
SLC9B1	4q24	1.54	1.6	0.84	0.85	-0.06	0.56499999999999995	0.77100000000000002	 CLDN4 Low
CYP1A1	15q24.1	1.99	1.89	1.48	1.61	0.1	0.56499999999999995	0.77100000000000002	 CLDN4 High 
LZTFL1	3p21.31	9.6999999999999993	9.75	0.6	0.66	-0.04	0.56599999999999995	0.77100000000000002	 CLDN4 Low
MRFAP1L1	4p16.1	10.119999999999999	10.15	0.51	0.54	-0.03	0.56599999999999995	0.77100000000000002	 CLDN4 Low
ORAI1	12q24.31	9.4600000000000009	9.43	0.57999999999999996	0.54	0.04	0.56599999999999995	0.77100000000000002	 CLDN4 High 
MMP13	11q22.2	3.57	3.35	3.43	3.36	0.22	0.56599999999999995	0.77100000000000002	 CLDN4 High 
FFAR2	19q13.12	2.2000000000000002	2.2799999999999998	1.26	1.1200000000000001	-0.08	0.56599999999999995	0.77100000000000002	 CLDN4 Low
UBQLN1	9q21.32	11.25	11.28	0.46	0.42	-0.03	0.56599999999999995	0.77200000000000002	 CLDN4 Low
PCDHB5	5q31.3	7.22	7.07	2.1800000000000002	2.44	0.15	0.56599999999999995	0.77200000000000002	 CLDN4 High 
UMPS	3q21.2	9.68	9.66	0.4	0.44	0.03	0.56599999999999995	0.77200000000000002	 CLDN4 High 
FBXL22	15q22.31	5.45	5.51	0.84	0.92	-0.06	0.56599999999999995	0.77200000000000002	 CLDN4 Low
CARD10	22q13.1	8.61	8.68	1.1200000000000001	0.98	-7.0000000000000007E-2	0.56599999999999995	0.77200000000000002	 CLDN4 Low
EMC8	16q24.1	9.26	9.23	0.52	0.54	0.03	0.56699999999999995	0.77200000000000002	 CLDN4 High 
ATP5F1A	18q21.1	12.91	12.87	0.66	0.57999999999999996	0.04	0.56699999999999995	0.77200000000000002	 CLDN4 High 
OXR1	8q23.1	9.84	9.8800000000000008	0.65	0.65	-0.04	0.56699999999999995	0.77200000000000002	 CLDN4 Low
LBX2	2p13.1	2.92	2.82	1.67	1.37	0.1	0.56699999999999995	0.77200000000000002	 CLDN4 High 
OR52R1	11p15.4	0.02	0.03	0.11	0.13	-0.01	0.56699999999999995	0.77200000000000002	 CLDN4 Low
SPSB2	12p13.31	7.63	7.57	0.74	0.8	0.05	0.56699999999999995	0.77200000000000002	 CLDN4 High 
NSMCE4A	10q26.13	9.11	9.15	0.56999999999999995	0.55000000000000004	-0.04	0.56699999999999995	0.77200000000000002	 CLDN4 Low
MEIOB	16p13.3	2.48	2.62	2.2000000000000002	2.19	-0.14000000000000001	0.56699999999999995	0.77200000000000002	 CLDN4 Low
LINC01144	1p34.1	5.94	5.87	1.03	0.97	7.0000000000000007E-2	0.56699999999999995	0.77200000000000002	 CLDN4 High 
CCDC86	11q12.2	9.7100000000000009	9.73	0.44	0.44	-0.03	0.56699999999999995	0.77200000000000002	 CLDN4 Low
SSX9P	Xp11.23	0.13	0.09	0.74	0.51	0.04	0.56699999999999995	0.77200000000000002	 CLDN4 High 
MEPE	4q22.1	0.6	0.56000000000000005	0.73	0.7	0.05	0.56699999999999995	0.77200000000000002	 CLDN4 High 
TIMM9	14q23.1	9.07	9.0399999999999991	0.55000000000000004	0.59	0.04	0.56699999999999995	0.77200000000000002	 CLDN4 High 
OR52E2	11p15.4	0.14000000000000001	0.11	0.55000000000000004	0.53	0.04	0.56699999999999995	0.77200000000000002	 CLDN4 High 
FRG2B	10q26.3	0.18	0.22	0.5	0.46	-0.03	0.56699999999999995	0.77200000000000002	 CLDN4 Low
PRAM1	19p13.2	5.18	5.25	1.0900000000000001	1.1499999999999999	-7.0000000000000007E-2	0.56799999999999995	0.77200000000000002	 CLDN4 Low
DYNC1LI1	3p22.3	9.5	9.5299999999999994	0.5	0.48	-0.03	0.56799999999999995	0.77200000000000002	 CLDN4 Low
RP9P	7p14.3	7.29	7.25	0.61	0.62	0.04	0.56799999999999995	0.77200000000000002	 CLDN4 High 
ARRB1	11q13.4	7.8	7.74	0.8	0.81	0.05	0.56799999999999995	0.77200000000000002	 CLDN4 High 
ZNF441	19p13.2	7.13	7.19	0.77	0.84	-0.05	0.56799999999999995	0.77300000000000002	 CLDN4 Low
CXCR1	2q35	2.0099999999999998	2.1	1.33	1.4	-0.09	0.56799999999999995	0.77300000000000002	 CLDN4 Low
SECISBP2L	15q21.1	9.75	9.7799999999999994	0.55000000000000004	0.56000000000000005	-0.04	0.56799999999999995	0.77300000000000002	 CLDN4 Low
EPB41L4A-DT	5q22.2	4.8600000000000003	4.82	0.71	0.75	0.05	0.56799999999999995	0.77300000000000002	 CLDN4 High 
PGGHG	11p15.5	10.37	10.26	1.62	1.78	0.11	0.56799999999999995	0.77300000000000002	 CLDN4 High 
BRD4	19p13.12	11.97	12.01	0.73	0.72	-0.05	0.56799999999999995	0.77300000000000002	 CLDN4 Low
SCFD1	14q12	9.56	9.6	0.52	0.51	-0.03	0.56799999999999995	0.77300000000000002	 CLDN4 Low
PAK1	11q13.5-q14.1	10.64	10.69	0.83	0.76	-0.05	0.56899999999999995	0.77300000000000002	 CLDN4 Low
MAP3K21	1q42.2	8.93	8.99	0.77	0.95	-0.06	0.56899999999999995	0.77300000000000002	 CLDN4 Low
RPS5	19q13.43	14.22	14.28	0.89	0.89	-0.06	0.56899999999999995	0.77300000000000002	 CLDN4 Low
KIF3B	20q11.21	10.66	10.62	0.55000000000000004	0.53	0.04	0.56899999999999995	0.77300000000000002	 CLDN4 High 
TUT1	11q12.3	9.24	9.26	0.49	0.41	-0.03	0.56899999999999995	0.77300000000000002	 CLDN4 Low
TNNT2	1q32.1	4.78	4.93	2.33	2.35	-0.15	0.56899999999999995	0.77300000000000002	 CLDN4 Low
ADRA2B	2q11.2	5.52	5.63	1.75	1.65	-0.11	0.56899999999999995	0.77300000000000002	 CLDN4 Low
PLA2R1	2q23-q24	6.65	6.57	1.18	1.1100000000000001	7.0000000000000007E-2	0.56899999999999995	0.77300000000000002	 CLDN4 High 
GBP5	1p22.2	7.92	7.8	1.83	1.8	0.12	0.56899999999999995	0.77300000000000002	 CLDN4 High 
LAIR2	19q13.42	1.01	0.94	1.0900000000000001	0.93	7.0000000000000007E-2	0.56899999999999995	0.77300000000000002	 CLDN4 High 
MAGED1	Xp11.22	12.57	12.53	0.71	0.67	0.05	0.56899999999999995	0.77300000000000002	 CLDN4 High 
MYO10	5p15.1	11.09	11.03	0.78	1.23	7.0000000000000007E-2	0.56899999999999995	0.77300000000000002	 CLDN4 High 
ENPP6	4q35.1	3.11	3.24	1.8	1.98	-0.12	0.56899999999999995	0.77300000000000002	 CLDN4 Low
PRR29	17q23.3	6.08	5.98	1.69	1.41	0.1	0.56899999999999995	0.77300000000000002	 CLDN4 High 
MRPL46	15q25.3	8.7100000000000009	8.68	0.56999999999999995	0.6	0.04	0.56899999999999995	0.77300000000000002	 CLDN4 High 
CALB1	8q21.3	2.98	2.81	2.89	2.41	0.17	0.56899999999999995	0.77300000000000002	 CLDN4 High 
TEAD4	12p13.33	9.1	9.15	0.76	0.79	-0.05	0.56899999999999995	0.77300000000000002	 CLDN4 Low
MRPL18	6q25.3	9.85	9.81	0.53	0.61	0.04	0.56899999999999995	0.77300000000000002	 CLDN4 High 
VEZF1	17q22	10.8	10.83	0.45	0.52	-0.03	0.56899999999999995	0.77300000000000002	 CLDN4 Low
LRATD1	2p24.3	7.48	7.6	1.79	2.09	-0.13	0.56999999999999995	0.77300000000000002	 CLDN4 Low
MRGPRX4	11p15.1	0.03	0.04	0.13	0.16	-0.01	0.56999999999999995	0.77300000000000002	 CLDN4 Low
STPG4	2p21	0.91	0.97	0.82	0.75	-0.05	0.56999999999999995	0.77300000000000002	 CLDN4 Low
SS18	18q11.2	10.48	10.52	0.6	0.67	-0.04	0.56999999999999995	0.77300000000000002	 CLDN4 Low
SOCS5	2p21	9.4499999999999993	9.48	0.49	0.55000000000000004	-0.03	0.56999999999999995	0.77400000000000002	 CLDN4 Low
SLC1A1	9p24.2	6.23	6.15	1.21	1.23	0.08	0.56999999999999995	0.77400000000000002	 CLDN4 High 
MIR17HG	13q31.3	5.52	5.6	1.2	1.1200000000000001	-0.08	0.56999999999999995	0.77400000000000002	 CLDN4 Low
UAP1L1	9q34.3	8.08	8.02	0.97	0.88	0.06	0.56999999999999995	0.77400000000000002	 CLDN4 High 
ARHGAP25	2p13.3	7.85	7.9	0.67	0.77	-0.05	0.56999999999999995	0.77400000000000002	 CLDN4 Low
SLC29A4	7p22.1	7	7.11	1.66	1.63	-0.11	0.56999999999999995	0.77400000000000002	 CLDN4 Low
MIS18A	21q22.11	8.7200000000000006	8.68	0.56999999999999995	0.6	0.04	0.56999999999999995	0.77400000000000002	 CLDN4 High 
ZAN	7q22.1	0.4	0.35	0.85	0.65	0.05	0.56999999999999995	0.77400000000000002	 CLDN4 High 
MEIS2	15q14	7.65	7.76	1.66	1.75	-0.11	0.56999999999999995	0.77400000000000002	 CLDN4 Low
DHRS7	14q23.1	8.89	8.84	0.74	0.83	0.05	0.56999999999999995	0.77400000000000002	 CLDN4 High 
ZMYND10	3p21.31	6.97	6.86	1.87	1.71	0.12	0.56999999999999995	0.77400000000000002	 CLDN4 High 
CYP2A13	19q13.2	0.67	0.75	1.1000000000000001	1.4	-0.08	0.56999999999999995	0.77400000000000002	 CLDN4 Low
SWI5	9q34.11	8.44	8.4	0.69	0.61	0.04	0.56999999999999995	0.77400000000000002	 CLDN4 High 
NT5C3B	17q21.2	9.31	9.27	0.62	0.62	0.04	0.56999999999999995	0.77400000000000002	 CLDN4 High 
IRF9	14q12	10.72	10.66	0.8	0.79	0.05	0.57099999999999995	0.77400000000000002	 CLDN4 High 
PITRM1	10p15.2	11.18	11.23	0.72	0.73	-0.05	0.57099999999999995	0.77400000000000002	 CLDN4 Low
ATP2B3	Xq28	3.16	3.28	2	1.79	-0.12	0.57099999999999995	0.77400000000000002	 CLDN4 Low
BBS2	16q13	9.19	9.23	0.61	0.56999999999999995	-0.04	0.57099999999999995	0.77400000000000002	 CLDN4 Low
OR51I2	11p15.4	0.05	7.0000000000000007E-2	0.2	0.21	-0.01	0.57099999999999995	0.77400000000000002	 CLDN4 Low
SOD3	4p15.2	9.06	8.9600000000000009	1.53	1.39	0.09	0.57099999999999995	0.77400000000000002	 CLDN4 High 
VDAC1	5q31.1	11.64	11.67	0.55000000000000004	0.53	-0.04	0.57099999999999995	0.77400000000000002	 CLDN4 Low
PIPSL	10q23.33	7.44	7.41	0.47	0.45	0.03	0.57099999999999995	0.77400000000000002	 CLDN4 High 
RASAL2-AS1	1q25.2	4.22	4.2699999999999996	0.77	0.89	-0.05	0.57099999999999995	0.77400000000000002	 CLDN4 Low
RNF148	7q31.32	0.93	0.87	0.85	0.81	0.05	0.57099999999999995	0.77400000000000002	 CLDN4 High 
CEP63	3q22.2	8.59	8.6199999999999992	0.47	0.5	-0.03	0.57099999999999995	0.77400000000000002	 CLDN4 Low
MYO7A	11q13.5	7.08	7.14	1	1.04	-7.0000000000000007E-2	0.57099999999999995	0.77400000000000002	 CLDN4 Low
GNAT1	3p21.31	1.07	1.01	0.94	0.92	0.06	0.57099999999999995	0.77400000000000002	 CLDN4 High 
PLA2G4C	19q13.33	5.28	5.36	1.18	1.29	-0.08	0.57099999999999995	0.77400000000000002	 CLDN4 Low
BAG6	6p21.33	12.67	12.7	0.53	0.5	-0.03	0.57099999999999995	0.77400000000000002	 CLDN4 Low
PPAN-P2RY11	19p13.2	5.13	5.31	2.98	2.75	-0.19	0.57099999999999995	0.77400000000000002	 CLDN4 Low
NECAP1	12p13.31	9.19	9.23	0.56999999999999995	0.55000000000000004	-0.04	0.57099999999999995	0.77400000000000002	 CLDN4 Low
PRTG	15q21.3	4.6399999999999997	4.74	1.58	1.6	-0.1	0.57099999999999995	0.77400000000000002	 CLDN4 Low
CNOT6L	4q21.1	9.19	9.2200000000000006	0.56000000000000005	0.52	-0.03	0.57099999999999995	0.77400000000000002	 CLDN4 Low
RPL32P3	3q21.3	7.92	7.97	0.8	0.74	-0.05	0.57099999999999995	0.77400000000000002	 CLDN4 Low
STRA6	15q24.1	8.52	8.42	1.61	1.59	0.1	0.57199999999999995	0.77400000000000002	 CLDN4 High 
OR6X1	11q24.1	0.02	0.03	0.12	0.13	-0.01	0.57199999999999995	0.77400000000000002	 CLDN4 Low
CCDC148	2q24.1	4.28	4.22	0.97	1.06	7.0000000000000007E-2	0.57199999999999995	0.77400000000000002	 CLDN4 High 
STAMBP	2p13.1	10.029999999999999	10.050000000000001	0.38	0.43	-0.03	0.57199999999999995	0.77400000000000002	 CLDN4 Low
SLC25A19	17q25.1	8.6	8.56	0.66	0.64	0.04	0.57199999999999995	0.77500000000000002	 CLDN4 High 
SWAP70	11p15.4	9.4700000000000006	9.43	0.59	0.56000000000000005	0.04	0.57199999999999995	0.77500000000000002	 CLDN4 High 
RCN1	11p13	11.67	11.71	0.62	0.64	-0.04	0.57199999999999995	0.77500000000000002	 CLDN4 Low
POM121	7q11.23	11.71	11.68	0.54	0.52	0.03	0.57199999999999995	0.77500000000000002	 CLDN4 High 
APBB1	11p15.4	8.5299999999999994	8.59	0.92	0.87	-0.06	0.57199999999999995	0.77500000000000002	 CLDN4 Low
E2F4	16q22.1	10.54	10.51	0.49	0.46	0.03	0.57299999999999995	0.77500000000000002	 CLDN4 High 
ANKRD46	8q22.3	8.74	8.6999999999999993	0.6	0.7	0.04	0.57299999999999995	0.77500000000000002	 CLDN4 High 
RPS27A	2p16.1	12.23	12.18	0.75	0.72	0.05	0.57299999999999995	0.77500000000000002	 CLDN4 High 
HILPDA	7q32.1	8.6300000000000008	8.67	0.7	0.67	-0.04	0.57299999999999995	0.77500000000000002	 CLDN4 Low
KRTAP5-10	11q13.4	1.78	1.71	0.99	1.02	0.06	0.57299999999999995	0.77500000000000002	 CLDN4 High 
ADAMTS18	16q23.1	3.38	3.5	1.76	1.89	-0.12	0.57299999999999995	0.77500000000000002	 CLDN4 Low
TTC5	14q11.2	8.1300000000000008	8.09	0.71	0.65	0.04	0.57299999999999995	0.77500000000000002	 CLDN4 High 
MIPEP	13q12.12	8.6	8.56	0.62	0.61	0.04	0.57299999999999995	0.77500000000000002	 CLDN4 High 
BANK1	4q24	5.69	5.53	2.54	2.2400000000000002	0.15	0.57299999999999995	0.77500000000000002	 CLDN4 High 
IMPG1	6q14.1	1.4	1.45	0.9	0.85	-0.06	0.57299999999999995	0.77600000000000002	 CLDN4 Low
DENND11	7q34	10.130000000000001	10.17	0.68	0.65	-0.04	0.57299999999999995	0.77600000000000002	 CLDN4 Low
ENO1	1p36.23	14.72	14.76	0.67	0.64	-0.04	0.57299999999999995	0.77600000000000002	 CLDN4 Low
PWP2	21q22.3	9.39	9.42	0.59	0.56999999999999995	-0.04	0.57299999999999995	0.77600000000000002	 CLDN4 Low
ARMC6	19p13.11	9.82	9.7899999999999991	0.59	0.61	0.04	0.57299999999999995	0.77600000000000002	 CLDN4 High 
METTL17	14q11.2	9.15	9.11	0.74	0.57999999999999996	0.04	0.57299999999999995	0.77600000000000002	 CLDN4 High 
PARP14	3q21.1	11.26	11.32	0.93	1.03	-0.06	0.57399999999999995	0.77600000000000002	 CLDN4 Low
SLC6A11	3p25.3	4.71	4.57	2.16	2.2400000000000002	0.14000000000000001	0.57399999999999995	0.77600000000000002	 CLDN4 High 
IFI27	14q32.12	12.71	12.6	1.74	1.81	0.11	0.57399999999999995	0.77600000000000002	 CLDN4 High 
EXOC3L2	19q13.32	5.75	5.8	0.7	0.78	-0.05	0.57399999999999995	0.77600000000000002	 CLDN4 Low
ARPC5L	9q33.3	9.85	9.81	0.54	0.6	0.04	0.57399999999999995	0.77600000000000002	 CLDN4 High 
EIF2B5	3q27.1	9.89	9.91	0.44	0.47	-0.03	0.57399999999999995	0.77600000000000002	 CLDN4 Low
RPRD1A	18q12.2	10.56	10.61	0.82	0.71	-0.05	0.57399999999999995	0.77600000000000002	 CLDN4 Low
XAGE3	Xp11.22	0.36	0.44	1.2	1.33	-0.08	0.57399999999999995	0.77600000000000002	 CLDN4 Low
DEFB135	8p23.1	0.02	0.05	0.16	0.54	-0.03	0.57399999999999995	0.77600000000000002	 CLDN4 Low
CIAO2A	15q22.31	9.75	9.7100000000000009	0.56999999999999995	0.57999999999999996	0.04	0.57399999999999995	0.77600000000000002	 CLDN4 High 
DDX39B	6p21.33	12.78	12.81	0.49	0.46	-0.03	0.57399999999999995	0.77600000000000002	 CLDN4 Low
KCNRG	13q14.2	3.78	3.7	1.48	1.07	0.08	0.57399999999999995	0.77600000000000002	 CLDN4 High 
PPP1R13B	14q32.33	10.54	10.58	0.67	0.63	-0.04	0.57399999999999995	0.77600000000000002	 CLDN4 Low
INSL5	1p31.3	0.44	0.4	0.73	0.5	0.04	0.57399999999999995	0.77600000000000002	 CLDN4 High 
DNAAF4	15q21.3	6.68	6.74	0.88	0.91	-0.06	0.57399999999999995	0.77600000000000002	 CLDN4 Low
TRHR	8q23.1	0.3	0.33	0.46	0.49	-0.03	0.57499999999999996	0.77600000000000002	 CLDN4 Low
OR10G7	11q24.2	0	0	0.02	0.06	0	0.57499999999999996	0.77600000000000002	 CLDN4 Low
FCGBP	19q13.2	9.7100000000000009	9.6	1.93	1.65	0.12	0.57499999999999996	0.77600000000000002	 CLDN4 High 
KIZ	20p11.23	8.3699999999999992	8.41	0.65	0.63	-0.04	0.57499999999999996	0.77600000000000002	 CLDN4 Low
ZNF506	19p13.11	9.2100000000000009	9.26	0.78	0.65	-0.05	0.57499999999999996	0.77700000000000002	 CLDN4 Low
SEC16B	1q25.2	7.13	7.18	0.99	0.81	-0.06	0.57499999999999996	0.77700000000000002	 CLDN4 Low
ZC3H15	2q32.1	10.52	10.54	0.45	0.42	-0.03	0.57599999999999996	0.77800000000000002	 CLDN4 Low
CHMP2B	3p11.2	9.9499999999999993	9.92	0.52	0.47	0.03	0.57599999999999996	0.77800000000000002	 CLDN4 High 
PTTG3P	8q13.1	0.6	0.56000000000000005	0.64	0.55000000000000004	0.04	0.57599999999999996	0.77800000000000002	 CLDN4 High 
JAG2	14q32.33	9.14	9.07	0.93	1	0.06	0.57599999999999996	0.77800000000000002	 CLDN4 High 
ASZ1	7q31.2	0.05	7.0000000000000007E-2	0.2	0.21	-0.01	0.57599999999999996	0.77800000000000002	 CLDN4 Low
ERCC5	13q33.1	9.24	9.2799999999999994	0.57999999999999996	0.59	-0.04	0.57599999999999996	0.77800000000000002	 CLDN4 Low
ACP2	11p11.2	10.28	10.31	0.47	0.48	-0.03	0.57599999999999996	0.77800000000000002	 CLDN4 Low
DHCR24	1p32.3	13.76	13.69	1	1.0900000000000001	7.0000000000000007E-2	0.57599999999999996	0.77800000000000002	 CLDN4 High 
MAGEA5	Xq28	0.66	0.6	0.97	0.84	0.06	0.57699999999999996	0.77800000000000002	 CLDN4 High 
CITED1	Xq13.1	2.71	2.6	1.76	1.65	0.11	0.57699999999999996	0.77800000000000002	 CLDN4 High 
ZNF33A	10p11.1	10.050000000000001	10.09	0.6	0.7	-0.04	0.57699999999999996	0.77800000000000002	 CLDN4 Low
RASA4	7q22.1	8.4499999999999993	8.5	0.77	0.78	-0.05	0.57699999999999996	0.77900000000000003	 CLDN4 Low
TMEM255B	13q34	5.57	5.51	0.9	0.93	0.06	0.57699999999999996	0.77900000000000003	 CLDN4 High 
TIMM22	17p13	8.8800000000000008	8.84	0.57999999999999996	0.59	0.04	0.57699999999999996	0.77900000000000003	 CLDN4 High 
CIRBP-AS1	19p13.3	4.08	4.13	0.81	0.73	-0.05	0.57699999999999996	0.77900000000000003	 CLDN4 Low
VN1R2	19q13.42	0.15	0.13	0.36	0.28000000000000003	0.02	0.57699999999999996	0.77900000000000003	 CLDN4 High 
ARRDC3-AS1	5q14.3	3.01	3.06	0.91	0.8	-0.05	0.57699999999999996	0.77900000000000003	 CLDN4 Low
CARMIL1	6p22.2	9.01	9.0500000000000007	0.66	0.63	-0.04	0.57799999999999996	0.77900000000000003	 CLDN4 Low
PID1	2q36.3	5.55	5.46	1.38	1.52	0.09	0.57799999999999996	0.77900000000000003	 CLDN4 High 
MR1	1q25.3	7.55	7.49	0.77	0.86	0.05	0.57799999999999996	0.77900000000000003	 CLDN4 High 
LAT2	7q11.23	7.23	7.15	1.24	1.23	0.08	0.57799999999999996	0.77900000000000003	 CLDN4 High 
OR51B5	11p15.4	0.46	0.41	0.88	0.73	0.05	0.57799999999999996	0.77900000000000003	 CLDN4 High 
TLE1	9q21.32	10.78	10.74	0.54	0.68	0.04	0.57799999999999996	0.77900000000000003	 CLDN4 High 
IFIT1	10q23.31	10.55	10.45	1.48	1.59	0.1	0.57799999999999996	0.77900000000000003	 CLDN4 High 
ESF1	20p12.1	8.73	8.69	0.64	0.63	0.04	0.57799999999999996	0.77900000000000003	 CLDN4 High 
ULK4	3p22.1	6.79	6.85	0.95	1.01	-0.06	0.57799999999999996	0.77900000000000003	 CLDN4 Low
SCAMP2	15q24.1	11.56	11.52	0.57999999999999996	0.53	0.04	0.57799999999999996	0.77900000000000003	 CLDN4 High 
ZNF365	10q21.2	4.66	4.58	1.17	1.27	0.08	0.57799999999999996	0.78	 CLDN4 High 
USF2	19q13.12	11.69	11.65	0.71	0.53	0.04	0.57799999999999996	0.78	 CLDN4 High 
CFL1P1	10q23.31	2.0299999999999998	2.1	1.01	1.06	-7.0000000000000007E-2	0.57799999999999996	0.78	 CLDN4 Low
COL28A1	7p21.3	2.95	2.83	1.85	1.96	0.12	0.57799999999999996	0.78	 CLDN4 High 
SCRT1	8q24.3	1.91	1.98	1.05	1.07	-7.0000000000000007E-2	0.57899999999999996	0.78	 CLDN4 Low
SLC29A2	11q13.2	9.81	9.76	0.64	0.78	0.05	0.57899999999999996	0.78	 CLDN4 High 
LINC02860	7p15.2	0.13	0.15	0.28000000000000003	0.28999999999999998	-0.02	0.57899999999999996	0.78	 CLDN4 Low
SIAH1	16q12.1	9.3800000000000008	9.42	0.52	0.5	-0.03	0.57899999999999996	0.78	 CLDN4 Low
SIRT5	6p23	9.3000000000000007	9.34	0.56999999999999995	0.62	-0.04	0.57899999999999996	0.78	 CLDN4 Low
DNAJA2	16q11.2	10.34	10.37	0.49	0.51	-0.03	0.57899999999999996	0.78	 CLDN4 Low
ZNF626	19p12	8.2899999999999991	8.36	1.1499999999999999	1.1499999999999999	-7.0000000000000007E-2	0.57899999999999996	0.78	 CLDN4 Low
KATNAL2	18q21.1	6.6	6.67	1.07	1.07	-7.0000000000000007E-2	0.57899999999999996	0.78	 CLDN4 Low
RBM23	14q11.2	10.66	10.69	0.51	0.47	-0.03	0.57899999999999996	0.78	 CLDN4 Low
PIK3CD-AS1	1p36.22	1.49	1.55	0.91	0.92	-0.06	0.57899999999999996	0.78	 CLDN4 Low
