gene	distance	Z	FC	p.value	p.adj
MDK	1.04180820942013e-07	0.593991141872846	0.0001598098643326	0.9899137370612	0.99999999999513
IFI27	1.03884265338833e-07	0.59283698180591	0.0001589013466654	0.989942446559819	0.99999999999513
C4ORF3	1.03205257571825e-07	0.590182880536792	0.0001568309149969	0.99000818123779	0.99999999999513
RBM3	1.02995418818603e-07	0.589359407492096	0.000156193820557	0.990028495721466	0.99999999999513
SLC9A3R1	1.02825008594466e-07	0.58868952548185	0.0001556773897335	0.990044993135131	0.99999999999513
TAP1	1.02698849856664e-07	0.588192936248714	0.0001552956146225	0.99005720656518	0.99999999999513
S100A16	1.02080049205875e-07	0.585749023162289	0.0001534298193097	0.990117112702834	0.99999999999513
HLA-F	1.00154854850543e-07	0.578057272029357	0.000147697125778	0.99030349126832	0.99999999999513
PPP2CA	9.96716996367283e-08	0.576105526822291	0.0001462755569141	0.990350265733498	0.99999999999513
CDKN2A	9.84093534677514e-08	0.570964709847094	0.0001425938481206	0.990472474168107	0.99999999999513
ITM2B	9.83584129230109e-08	0.57075598436396	0.0001424462619811	0.990477405755283	0.99999999999513
JUN	9.8177798294376e-08	0.570015123998935	0.0001419235968422	0.990494891177557	0.99999999999513
LCP2	9.79990783909858e-08	0.569280797724026	0.0001414073602693	0.990512193174714	0.99999999999513
LLGL2	9.67890306057476e-08	0.564276213698813	0.0001379368527097	0.990629338852649	0.99999999999513
C12ORF57	9.48515641208293e-08	0.556141723183648	0.0001324698443153	0.990816906926728	0.99999999999513
BASP1	9.48108256410395e-08	0.55596904307117	0.0001323560779013	0.99082085086531	0.99999999999513
PLEC	9.47197101793929e-08	0.555582579952641	0.0001321018054543	0.990829671857637	0.99999999999513
NDUFB9	9.40907106998898e-08	0.552905312224911	0.0001303531498724	0.990890566049065	0.99999999999513
DNAJA1	9.38873573122501e-08	0.552036230496616	0.0001297903077066	0.990910252944951	0.99999999999513
IFITM1	9.33272688674335e-08	0.549633548859353	0.0001282463890329	0.990964475836631	0.99999999999513
LMO7	9.32443504597645e-08	0.54927671424364	0.000128018604324	0.990972503279205	0.99999999999513
MRPL14	9.05245715649353e-08	0.537407062991064	0.0001206593519044	0.991235809234006	0.99999999999513
NDUFC1	8.91967917453066e-08	0.531492447821954	0.0001171457399164	0.991364353977751	0.99999999999513
HDGF	8.91480165320483e-08	0.531273635826191	0.0001170176580403	0.991369075997841	0.99999999999513
GZMA	8.83561804156694e-08	0.527705828108884	0.0001149481269046	0.991445735183055	0.99999999999513
NASP	8.74758463138496e-08	0.523704501379719	0.0001126689735932	0.991530962121997	0.99999999999513
CALM1	8.74374535656783e-08	0.52352915371321	0.0001125700955039	0.991534679004417	0.99999999999513
CHCHD10	8.70199763739765e-08	0.521617852461367	0.0001114977116765	0.991575095858198	0.99999999999513
CKB	8.65703618990362e-08	0.519549941823334	0.0001103485163104	0.991618624014816	0.99999999999513
RPL22L1	8.58677634066963e-08	0.516298571779264	0.0001085646243905	0.991686644155081	0.99999999999513
KLF6	8.57968822340876e-08	0.515969198804558	0.0001083854649131	0.991693506324184	0.99999999999513
NPC2	8.57966175376753e-08	0.515967968334431	0.0001083847961429	0.991693531950053	0.99999999999513
SPINT2	8.55832502427005e-08	0.514974966945624	0.0001078463829575	0.991714188531605	0.99999999999513
EIF3E	8.55442564811423e-08	0.51479324517647	0.0001077481305984	0.991717963608492	0.99999999999513
APLP2	8.42588398326633e-08	0.508759682155832	0.0001045343401336	0.991842407891739	0.99999999999513
BLVRB	8.35571949283962e-08	0.505430364731087	0.0001028006205185	0.991910335909618	0.99999999999513
IL2RB	8.33339432557269e-08	0.504365625357122	0.000102252020232	0.991931949481049	0.99999999999513
DUSP1	8.28423253774223e-08	0.502011682755098	0.0001010491335867	0.991979544299297	0.99999999999513
PARP1	7.58768887357582e-08	0.467198374954988	8.47709522269502e-05	0.992653889505361	0.99999999999513
SYNGR2	7.54254828784078e-08	0.464841811801257	8.37653158893425e-05	0.992697591672049	0.99999999999513
DAD1	7.50367754252331e-08	0.462802123384595	8.29041665434829e-05	0.992735223806327	0.99999999999513
KRT18	7.44417272150524e-08	0.45966074177704	8.15945054555181e-05	0.992792832545556	0.99999999999513
AHNAK	7.40563189900247e-08	0.457613716498886	8.07518117489267e-05	0.992830145310293	0.99999999999513
ZFP36L1	7.30874651639635e-08	0.452424122981398	7.86527355147095e-05	0.992923943623745	0.99999999999513
SLPI	7.29410284627618e-08	0.451634234264494	7.83378769044004e-05	0.992938120709601	0.99999999999513
ANXA11	7.29409194095815e-08	0.451633645480243	7.83376426606995e-05	0.992938131267449	0.99999999999513
PTPN6	7.28739807441131e-08	0.45127208663783	7.81939260433508e-05	0.992944611851268	0.99999999999513
AMOTL1	7.12356434272983e-08	0.442326026040517	7.47175692696318e-05	0.993103225589307	0.99999999999513
BST2	7.10050217139311e-08	0.441051528397599	7.42345638532254e-05	0.993125552986568	0.99999999999513
PNP	7.02543066741588e-08	0.43687621452043	7.26731418832657e-05	0.993198232706337	0.99999999999513
TIMP1	6.83334415474983e-08	0.426002529362137	6.87534697392888e-05	0.993384199582663	0.99999999999513
MICALL2	6.76865860886409e-08	0.422277298252347	6.74579675882173e-05	0.99344682440926	0.99999999999513
CYBA	6.66984436066192e-08	0.41652274674147	6.55027346962739e-05	0.993542490761109	0.99999999999513
BNIP3	6.6526794646643e-08	0.415515126609528	6.51660249293747e-05	0.993559108849581	0.99999999999513
H1FX	6.63686934119882e-08	0.414584912064785	6.48566582540916e-05	0.993574415325833	0.99999999999513
PHPT1	6.49359314501512e-08	0.406060609718304	6.20866433973722e-05	0.993713127423359	0.99999999999513
CTSB	6.43592980659853e-08	0.402580872434803	6.09888760321175e-05	0.993768953935735	0.99999999999513
EIF3F	6.38075198427735e-08	0.39922410911574	5.99475944412932e-05	0.993822374134989	0.99999999999513
MZT2B	6.30126825507696e-08	0.39434134140886	5.84633866429379e-05	0.993899326054352	0.99999999999513
SNHG6	6.23641168493972e-08	0.390314882079871	5.72660971012053e-05	0.993962116778315	0.99999999999513
XAF1	6.08092864312861e-08	0.380502636914476	5.44462341492693e-05	0.994112647442631	0.99999999999513
TAF10	5.92197350714857e-08	0.370229199249691	5.16369940254851e-05	0.994266539826088	0.99999999999513
PRKCH	5.87714388380373e-08	0.367285850189847	5.08581640753058e-05	0.99430994165587	0.99999999999513
GADD45B	5.70339184859816e-08	0.355678838780762	4.78954715390541e-05	0.994478159962729	0.99999999999513
CD74	5.62700542274622e-08	0.350472568447707	4.66211196724849e-05	0.994552113679481	0.99999999999513
NOP53	5.58521830883914e-08	0.347596847656788	4.59312577659947e-05	0.994592570002279	0.99999999999513
KRT8	5.56778207242254e-08	0.346391045442816	4.56449240443109e-05	0.994609450952289	0.99999999999513
ICAM1	5.55988388486107e-08	0.345843700580095	4.55155165121765e-05	0.994617097609518	0.99999999999513
CD99	5.53521233937014e-08	0.344129332225075	4.51124697274794e-05	0.994640983453622	0.99999999999513
HMGB3	5.50775896993892e-08	0.342213360709669	4.46660846886403e-05	0.994667562536068	0.99999999999513
PLP2	5.3838977190549e-08	0.333458105574776	4.26797270834968e-05	0.994787479343196	0.99999999999513
S100A11	5.38276699355809e-08	0.333377327162488	4.2661801784597e-05	0.994788574060535	0.99999999999513
LAP3	5.22755043617969e-08	0.322137479680013	4.02368983098099e-05	0.994938847810841	0.99999999999513
RAMP2	5.22502437778994e-08	0.321952025980028	4.01980211345987e-05	0.994941293429445	0.99999999999513
CDH1	5.19548343027067e-08	0.319777083501633	3.97447674569633e-05	0.994969893678762	0.99999999999513
H1F0	5.12281545527782e-08	0.31437802183932	3.86407417296882e-05	0.995040247651364	0.99999999999513
KDELR1	5.0418648800879e-08	0.308279807428	3.74291907409901e-05	0.995118620522597	0.99999999999513
