gene,GSM5772210,GSM5772211,GSM5772212,GSM5772213,GSM5772214,GSM5772215,GSM5772216
ADCY9,0.804,0.884,1.729,1.28,1.315,0.484,1.203
ADCYAP1,0.0,0.0,0.0,0.0,0.0,0.734,0.0
ADCYAP1R1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADD1,18.145,29.005,29.418,28.985,28.543,18.277,23.804
ADD2,0.0,0.504,0.0,0.0,0.0,0.0,0.0
ADD3,12.837,14.515,9.724,11.228,14.957,22.276,12.422
ADD3-AS1,0.214,0.649,0.841,0.125,0.11,0.228,0.0
ADGB,0.472,0.0,0.0,0.0,0.139,4.039,0.0
ADGRA1,0.0,0.0,0.0,0.0,0.0,0.28,0.0
ADGRA1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADGRA2,0.0,0.285,0.436,0.023,0.404,0.208,0.248
ADGRA3,0.052,0.095,0.0,0.246,0.081,3.705,0.042
ADGRB1,0.0,0.0,0.028,0.126,0.089,0.0,0.034
ADGRB2,0.0,0.0,0.0,0.0,0.0,0.962,0.0
ADGRB3,0.126,0.026,0.0,0.099,0.0,0.0,0.133
ADGRD1,0.309,1.097,1.387,1.602,0.728,0.0,0.524
ADGRE1,29.946,19.149,48.531,16.512,25.518,1.64,5.304
ADGRE2,4.311,4.823,2.86,3.165,2.541,9.76,4.384
ADGRE3,12.804,23.115,18.527,16.088,15.906,10.675,3.845
ADGRE4P,0.272,0.11,1.839,0.531,0.701,0.096,2.153
ADGRE5,182.478,152.222,216.38,197.293,125.088,79.419,157.497
ADGRF1,0.217,0.675,0.122,5.797,0.179,15.482,0.034
ADGRF2,0.0,0.028,0.0,0.0,0.0,0.222,0.0
ADGRF3,0.0,0.091,0.107,0.159,0.09,0.029,0.139
ADGRF4,0.426,0.0,0.051,0.0,0.16,0.082,0.0
ADGRF5,0.226,1.697,0.054,8.678,0.0,1.645,0.065
ADGRG1,1.359,0.569,0.189,0.626,0.298,4.684,0.057
ADGRG2,0.025,0.062,0.133,0.0,0.105,0.0,0.16
ADGRG3,7.801,0.0,0.129,0.404,0.355,17.706,0.515
ADGRG4,0.0,0.0,0.015,0.0,0.0,0.0,0.0
ADGRG5,1.331,0.166,0.089,0.32,0.035,0.799,0.0
ADGRG6,0.034,0.125,0.0,0.242,0.142,0.0,0.055
ADGRG7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADGRL1,0.299,0.054,0.156,0.087,0.046,0.302,0.024
ADGRL2,0.06,0.168,0.131,0.0,0.082,1.198,0.0
ADGRL3,0.0,0.023,0.0,0.0,0.0,0.0,0.061
ADGRL3-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADGRL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADGRV1,0.0,0.022,0.024,0.028,0.006,0.389,0.0
ADH1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADH1B,0.046,0.0,0.0,0.0,0.0,0.049,0.0
