gene	A006	A015	A021	A027	A028	A033	A037	A062	A063	A066	A068	A072	A074	A100	A101	A102	A103	A104	A110	A111	A112	A117	A120	A124	A126	A131	A134	A138	A143	A144	A148	A150	A153	A156	A157	A158	A159	A162	A163	A165	A168	A169	A177	A182	A183	A185	A186	A187	A188	A190	A191	A192	A193	A194	A195	A196	A197	A198	A199	A200	A201	A202	A203	A204	A205	A206	A207	A208	A209	A210	A211	A212	A213	A214	A215	A216	A217	A218	A219	A220	A221	A222	A232	A233	A234	A239	A240	A241	A243	A247	A249	A250	A252	A255	A258	A259	A260	A261	A262	A263	A264	A265	A266	A267	A268	A269	A270	A271	A272	A273	A274	A275	A276	A277	A278	A279	A280	A281	A282	A283	A284	A285	A306	A307	A310	A315	A316	A320	A322	A323	A375	A377	A379	A380	A381	A425	A426	A428	A430	A432	A433	A434	A483	A486	A488	A490	A492	A493	A496	A499	A500	A503	A504	A508	A509	A510	A511	A512	A514	A517	A519	A521	A522	A524	A530	A532	A534	A537	A538
MARVELD3	-0.789	0.2076	0.0084	-1.45	-0.4576	2.599	0.225	0.719	1.7263	1.0543	1.4022	0.0105	0.594	0.4859	0.5212	0.4288	-0.3965	-0.2485	0.1032	0.8459	1.2127	2.0178	0.4356	0.2604	0.8194	0.3183	0.518	-0.9445	1.3795	1.536	-0.8159	0.3741	0.2498	1.1927	0.1601	2.0665	0.126	0.6415	0.6246	-0.7203	-0.7485	1.2574	0.3507	0.4835	1.2143	0.2773	-0.002	-0.8245	0.6105	0.5784	0.8621	0.8852	-0.1049	-1.2337	-1.8703	0.0554	0.2565	1.7249	-0.5181	0.9501	-0.4564	-1.1017	-0.2644	1.0785	-0.3024	0.5624	1.5293	0.5579	-4.2424	0.4942	-1.3996	-1.0192	-0.1193	-0.9455	-1.5838	1.469	-1.2827	-1.4063	0.527	-0.327	-1.62	-0.146	0.5028	0.0942	-0.3872	-0.8619	-0.2098	-0.28	0.7401	-1.301	0.1857	-0.6157	-1.6639	-1.0581	-0.465	1.3226	2.8133	0.8796	0.7567	0.1947	-1.855	0.0287	0.3935	-0.2414	-1.3341	1.63	-0.3723	0.5164	1.0105	-0.4161	0.7153	0.6585	-1.3454	0.2207	-1.4064	0.4429	1.0788	-0.5424	-0.1258	-0.5586	-0.1426	0.1242	-0.1324	0.626	0.9737	-0.7027	0.2836	-0.4307	0.5637	-0.1391	-0.6529	0.4458	-0.5234	-0.6336	-0.333	-0.2993	-0.1458	0.0061	0.4562	0.7126	0.3525	-0.8847	-0.4302	-0.6171	0.5095	0.7794	0.1848	-0.2257	-1.2116	-0.5539	-3.8008	1.2258	1.2111	-1.3458	-0.1328	-0.3647	-0.3693	0.804	-0.9278	-0.8364	-0.6123	-0.4763	-0.8636	-2.0952	-0.0925	-0.9543	0.9656	-0.5747	-1.1124
MICALL2	-1.4908	1.5456	1.5655	0.7053	1.5046	0.7635	1.3621	1.2287	1.831	0.178	0.315	0.3579	2.5577	-0.9095	2.7276	1.4798	0.1793	-0.6087	1.0893	-0.6184	0.367	-0.4102	1.6126	0.0921	-0.5976	0.9946	0.1705	-2.2767	1.466	1.1573	0.9369	1.8214	2.4767	0.7302	0.3554	0.8992	0.6434	0.3131	0.9552	0.6694	-1.6493	0.7901	0.9685	-0.1738	-0.0337	-0.344	-0.6187	-0.3731	2.0077	0.8362	0.2127	0.221	-0.9111	-0.8638	-1.2962	-0.9572	-0.2415	-1.5941	-0.5664	0.4961	-0.1738	-1.1159	-1.0061	-1.3356	-0.8914	-0.0325	1.2612	-0.6257	-1.4922	-0.9593	-1.5904	-0.7596	-0.9974	-0.7461	-0.9275	0.5942	-0.881	-0.99	0.0613	-0.466	-1.5081	-0.2894	0.4872	1.2431	-0.6029	0.3958	-0.6615	-0.169	0.3128	1.5586	-0.2138	0.1554	-0.6402	-0.2246	-0.1275	-0.7	0.5374	0.6927	-0.4157	-2.3061	-1.256	-0.0863	-1.017	-1.0406	-1.599	0.1818	-0.4548	-1.4275	1.5821	0.1529	0.2972	-0.1099	-1.0269	-0.5795	-0.5791	-0.4109	-0.5484	-0.4346	0.7348	-0.763	0.1172	-0.3578	-0.1347	0.9413	-0.6827	-0.3507	-0.7581	-1.2309	0.5657	2.3205	-0.2573	-0.4513	0.7155	0.244	-0.6831	-1.4444	-0.2516	-1.0254	-0.4019	-0.8417	2.3052	-0.0125	0.3755	1.926	1.2322	1.925	-0.4397	1.6355	0.1092	0.7252	-1.1166	-0.2645	0.6542	0.1049	-1.5003	0.1799	0.1924	0.2242	-0.3271	-0.4517	0.1344	0.1182	-0.4536	-0.8843	0.0303	-0.7323	-1.6648	0.0749	-0.2473
MPP7	-0.2255	0.9124	0.284	0.6318	0.0241	-0.1578	0.1665	-0.9302	-0.7262	1.115	-0.9242	-0.3783	-0.5583	1.6083	-1.6081	0.0272	0.8155	1.5917	-0.1122	1.6718	1.0871	1.1622	-0.7013	0.0115	0.9281	0.3585	0.8899	0.746	0.841	1.0495	-0.7909	-2.4116	-1.1035	-0.1806	0.0977	0.4791	-0.5366	-0.471	-0.467	1.127	1.0404	-0.4056	-0.9271	0.8282	0.5946	0.5979	0.1254	0.2643	-0.5038	-3.763	0.4531	-0.3678	-0.5089	-0.2334	-1.5205	0.483	-1.1402	1.5433	-0.0863	0.4975	-0.1268	1.6569	0.7086	2.2169	0.4607	0.6357	-0.1626	0.4904	-1.7587	0.5499	0.2157	0.4159	1.1255	-1.316	-0.362	-2.5227	1.1585	-1.0128	-0.0072	-0.063	0.1762	-0.0308	0.8043	-1.8023	-0.1088	0.0896	0.1703	-1.0336	0.0112	-1.7602	-0.489	-0.7579	0.0597	-0.0561	-0.0286	1.4083	0.6937	-0.8295	0.2701	1.3561	-0.3226	-0.0753	-0.1437	0.3003	-0.3321	1.4035	-0.2055	1.4344	0.0446	0.9971	0.3725	0.0396	-0.7735	1.7472	-0.0131	1.0359	1.0426	-0.0024	0.394	-0.0995	0.7256	1.3094	-1.6956	0.8702	0.3135	0.2382	0.8861	0.6023	0.5897	-1.9645	1.3591	0.845	0.2104	-0.1158	0.7554	0.7671	0.2911	-0.0726	1.5956	-0.5579	-0.5097	0.8462	-1.0987	-1.1786	-1.9103	-1.5206	-0.816	-2.1912	-2.667	-1.8935	-1.3989	0.417	-0.3436	-2.209	1.1395	0.3278	-0.2664	1.3352	-0.0696	-0.1494	-0.7093	-0.4164	-0.6085	-1.2908	-0.4245	-0.2685	1.2576	0.8569	-0.7957
MTDH	-0.3395	-0.5711	-0.8016	-0.2059	-2.1326	0.1081	-0.9657	3.1724	-0.2572	0.8581	0.4092	-0.7713	-0.8322	0.7179	-0.4392	-1.3296	0.6751	0.4238	0.1216	-0.4103	0.0688	0.085	-0.4902	-0.1522	0.0742	3.5149	1.6493	0.2222	0.9918	-0.381	-2.1392	-1.9713	-1.782	0.9385	-0.2951	-0.7925	-0.5475	-1.0529	0.5049	-0.1347	1.9798	-2.0861	1.5053	0.1822	0.3944	0.408	0.6625	0.985	-0.2252	0.388	0.9137	1.0177	1.5542	0.429	0.953	0.3816	0.7811	3.6697	-0.3387	0.5663	0.6359	0.2038	0.7651	-0.1198	0.7191	0.4782	-0.124	-0.0199	0.8064	0.479	0.0742	0.035	1.0623	-1.6377	-0.4845	-1.0803	0.299	1.085	-0.145	0.0261	0.4536	0.2965	1.5066	0.502	0.2915	-0.463	0.7737	-0.4787	-1.217	-0.2903	0.3958	-0.6222	-0.4631	-0.2081	0.1432	-0.1772	1.4007	-1.3243	1.0868	-0.1927	0.1593	-0.4295	0.0392	0.4033	-0.4079	2.2714	-0.2749	0.7715	-1.3225	0.0832	0.4451	-0.3538	0.3029	2.7538	0.4086	-1.0044	-1.1892	-0.0064	0.3867	-0.2441	-0.139	0.9985	1.0195	-1.2819	0.0761	-0.3219	-0.1662	0.0389	0.9334	-1.9542	0.6635	-0.6592	-0.7477	-0.5217	0.1445	0.5896	-0.8422	-0.2397	0.8711	-0.2834	-1.0889	-0.1689	-2.1155	-1.3214	-1.9076	-1.7919	0.3548	-1.4652	-0.2399	-1.6545	-0.8712	-1.447	-0.38	-2.2261	0.1355	-0.3026	-0.4579	-0.1163	-0.6669	0.0502	0.0851	0.1488	-0.5608	0.4297	-0.2588	0.4741	0.9746	1.1386	-0.0545
OCLN	0.4884	-0.2137	-0.21	-0.0646	0.6709	-2.1347	-0.7087	0.0669	-0.7382	1.1321	-1.6441	-0.2835	-1.3544	0.9978	-0.9642	0.8528	1.1583	1.19	-1.9731	-0.2758	0.281	1.4127	0.2184	-0.3297	0.7162	-1.5546	0.9181	0.6844	-1.5931	0.2531	0.208	-0.2808	-0.4121	-0.4099	0.1672	-0.7391	-1.0524	0.1435	0.4714	0.6405	0.4146	-0.6644	-0.8832	0.6917	0.1241	0.1649	0.8189	0.5212	-0.6112	-1.0099	-0.0685	-0.2145	-1.2558	-0.5982	-1.4038	-0.3723	0.3963	1.1435	-0.0248	0.6679	-0.8585	1.3752	1.513	1.152	-0.1363	0.627	-0.461	0.748	-3.1522	0.3029	0.5675	0.4158	1.1465	-1.6242	0.3687	-1.1219	1.5815	-0.4633	1.2205	0.9935	0.6314	0.5692	1.4059	-0.9129	-0.0149	0.277	-0.8666	-0.4489	0.0972	-2.6512	0.5306	-0.0743	0.3912	1.1487	0.518	0.7342	-0.2746	0.1225	0.7557	1.1542	-0.6729	0.022	0.6084	0.6465	0.3191	1.0534	0.677	1.2423	0.7159	1.564	0.5362	0.7628	0.7041	1.8664	-0.0071	0.648	1.2647	0.2254	0.2688	0.3277	0.7253	0.3019	-0.5201	0.5271	1.4818	-0.0501	-0.0654	0.3347	0.6659	-0.7585	0.3428	0.3495	0.5186	0.4162	0.8828	1.0745	0.573	0.9851	0.6982	0.6639	-1.4941	0.8956	-0.894	-1.2664	-2.0786	-1.7538	0.7484	-2.2566	-3.1097	-2.8998	-2.2723	-0.2287	0.312	-2.7259	0.7182	0.7212	-0.5154	0.3955	0.1389	-1.1891	-0.4432	0.7045	-0.3241	-0.9542	-0.0287	-1.1071	-0.8498	-0.1105	-0.9108
PALS1	0.9197	-0.9021	-0.1719	-0.6436	-0.555	-1.0387	-1.0673	-0.4159	0.2047	0.1341	-1.4666	-0.3922	-1.9235	1.0018	-0.2205	-1.1912	1.5446	0.8617	-1.2784	0.3184	0.4156	-0.2842	-1.7951	-0.2467	0.0894	0.7548	1.5455	2.0113	-0.4424	0.3572	-1.0405	0.6728	-2.0954	0.4496	0.0474	-0.4385	-1.0574	0.6958	-0.3833	-0.9899	1.0139	-0.843	0.1254	1.0033	0.8698	1.7795	0.7699	0.6407	-0.9285	-0.3461	0.3596	-0.587	-0.2489	0.1787	-0.0096	0.2113	0.6866	0.6928	0.0347	1.304	-0.3772	1.9117	1.1547	0.9471	0.3902	0.8443	1.1919	0.0779	-1.4823	0.7588	1.0162	0.6751	0.6677	-1.9233	0.7879	-0.2105	0.0823	-0.7603	0.4885	0.8869	1.1105	0.6794	-0.4704	-0.1249	-0.3808	0.3881	-0.6412	-0.842	-1.0438	-2.4157	-0.2497	0.544	1.494	0.5505	0.2852	1.0301	0.8789	-0.0579	2.5374	0.8817	-0.3086	-0.7281	0.561	0.0588	0.4261	1.059	0.2291	0.5326	-0.2942	1.9684	0.4904	0.7379	0.2301	0.7157	-0.48	0.9096	0.6575	0.1454	0.7329	0.0918	0.7579	-0.0988	-0.7155	-0.5538	1.7861	0.3717	0.2487	0.4709	0.5571	0.625	1.019	0.4736	-0.514	0.8321	-0.0724	0.9755	-0.1802	1.168	0.6729	-0.7898	-1.037	-0.2069	-2.541	-2.117	-1.9153	-2.4772	0.5404	-2.4784	-2.4079	-2.5527	-1.7769	-1.2496	0.1756	-2.7615	-0.1296	-0.2977	-0.5664	0.6692	0.629	-0.3663	-0.0275	-0.8241	-0.0712	0.1481	-0.0132	-0.8627	0.4337	-0.1329	-0.5248
PARD3	1.3	-0.7649	-0.1195	0.1916	-0.293	0.5471	0.3795	0.2302	0.8839	-0.1084	-1.258	0.0645	-0.4342	0.2837	-2.0733	-0.9404	-0.6894	0.7358	-1.4019	-0.7075	-1.8626	0.8834	-0.2234	0.15	0.2024	1.3666	-0.2561	0.9401	-0.8355	1.2564	-0.944	-2.0928	-0.6789	-0.8715	0.2506	1.3748	0.4761	-0.4851	-1.1845	-0.7002	-2.0817	-1.4142	-0.0826	-1.3414	2.0814	-1.0973	-0.9322	0.0107	-0.1037	-0.1554	0.1494	-0.3164	-0.061	0.5707	-0.2248	1.0702	2.1183	1.4594	-0.6461	2.3126	-0.3823	0.2716	-0.0915	0.1007	0.3468	-1.2098	-0.0083	1.0448	-1.6342	2.7642	0.496	0.3514	-0.3539	0.9319	1.0185	-1.1549	0.099	-0.8304	1.3511	0.1099	1.2715	-0.6734	1.8759	-0.796	0.1922	-0.3085	-1.1916	0.2753	-0.0168	-0.5865	-0.129	0.4992	1.0481	-0.4952	-0.0663	-0.0657	0.547	0.1477	3.111	-0.5865	-1.4943	-0.9359	-0.0702	0.056	0.7491	0.1822	0.0212	1.5174	0.2109	2.7191	0.3533	1.7988	-0.0531	0.1238	-0.4773	-0.0026	0.3066	0.3375	0.1357	0.0283	1.0607	-0.1198	0.7082	-1.3003	0.3737	0.2182	0.2037	-0.2998	-0.2743	-2.8784	-0.9717	-0.1491	-0.3126	0.3151	1.928	0.2089	-0.4291	-0.6916	-0.7628	0.5669	0.9118	1.6076	0.6929	0.3045	-0.6739	1.6315	-1.0044	-0.6095	-1.5422	-0.1779	-2.7725	0.062	-0.332	0.265	1.574	0.0552	-1.3019	0.4535	-0.332	-1.5122	0.6962	-0.4623	0.2072	-1.7624	0.4014	0.563	-0.5642	0.069	-0.5284
PARD6A	-0.4742	1.0487	-0.0483	-0.4652	-0.514	1.4017	-0.5707	1.9395	1.2301	0.1598	0.4801	1.3534	1.8025	-0.4652	-1.7355	1.0156	-0.5985	-0.0605	-1.6213	-1.4425	-0.9186	0.7074	1.3632	0.0262	-0.1318	-2.0339	0.6671	-0.2382	1.2984	0.0178	0.9426	0.4371	0.8374	-0.8745	-0.1861	0.7676	-0.06	0.7529	0.7009	-0.3154	0.5117	1.5532	-1.8311	0.6071	-0.6311	0.9456	0.0751	-0.8225	0.9543	0.8116	0.5809	1.0665	-1.1231	-0.4521	-1.3548	-1.4043	0.2428	-1.9303	-0.0165	0.901	0.1492	-2.3242	-0.7908	-2.1188	-1.1117	0.3443	0.3809	0.6781	-0.0938	-0.6409	-0.2833	-0.2875	0.1276	0.7834	-0.5714	1.4842	-0.3346	-0.3973	-0.2059	-1.3402	-0.6433	0.8019	-3.2289	0.6167	-1.3456	0.2078	0.5302	-0.0587	0.7343	-0.1763	-0.7358	-0.7993	-0.9126	-0.371	-1.3635	0.673	0.3822	0.4784	-1.8735	-0.0054	-1.4809	0.1237	1.1538	-0.2157	0.3539	-0.4571	-1.0105	-1.5466	0.3171	-0.2516	-0.4524	0.5851	0.8562	-1.6624	0.029	-1.2269	0.7581	-0.8084	-0.4084	0.3723	-1.0711	0.0366	0.0389	0.3089	0.4359	-0.6335	-0.7864	-0.0449	0.2615	-0.2714	-0.3768	0.0132	0.0027	-0.2182	-1.3252	-1.8229	-0.1523	-0.1922	0.7872	0.4589	0.8567	-0.2414	2.31	2.4467	1.9978	2.1307	0.6174	0.9215	1.447	2.4893	0.8466	1.3834	-1.2434	2.1161	0.6992	-0.6977	1.4453	0.6229	-0.248	0.5225	0.0613	-0.0084	-0.6187	-0.9659	-1.0345	-0.0997	0.4181	0.0964	0.0144
PARD6B	0.1611	1.3332	1.3256	-0.1476	0.5825	-0.6222	0.5418	1.415	0.5401	1.6389	-1.7966	0.0109	1.5028	1.2344	1.1551	0.1915	1.591	0.8568	0.9503	1.3225	2.0026	0.7936	-0.4529	0.6728	0.0607	-0.6855	1.506	0.8807	-0.2606	-1.2728	0.3443	0.2195	0.0708	0.4549	0.1894	-0.7119	-1.5745	0.15	-0.2754	-0.0686	1.0633	-0.3981	-0.4321	-0.4742	-0.9011	0.0904	-0.5951	-0.6257	-0.9687	0.1851	0.2717	0.9458	-1.9307	0.1852	-1.4086	-0.308	-0.5908	-0.1223	0.0618	0.0586	-0.6286	1.6418	-0.4144	1.602	0.2903	0.1433	-0.3604	0.8044	-2.8746	0.3214	0.4285	1.5734	0.2297	-1.2757	0.4346	-2.2535	0.7622	-0.9987	0.8523	-0.1526	0.2583	1.0613	0.9853	-1.2971	-0.8401	-0.3215	0.3111	-0.3801	-0.565	-1.8799	0.3224	-0.248	0.301	0.5985	-0.0853	0.0486	-0.4233	-0.151	-0.3977	0.071	-0.6586	-0.9192	0.4493	-0.5657	0.2458	0.9644	0.3851	0.2371	0.1737	0.6821	-0.1742	-0.4981	-0.8061	-0.1115	-0.5627	0.5325	0.7197	-0.4852	0.3146	1.073	-0.1221	-0.8486	0.394	1.2912	1.0376	-0.1781	-0.5511	0.5571	0.9774	1.1941	0.9045	0.8654	-0.091	0.7983	0.0619	1.5487	0.2755	0.5083	0.791	-0.0424	-0.6227	0.0324	-0.3909	-1.4535	-2.7006	-1.3877	-0.2924	-2.3993	-3.5012	-3.345	-3.2053	-0.2154	0.7035	-1.9626	0.4107	0.3553	-0.702	1.5591	-0.0483	0.7932	-0.4791	-0.2742	-0.3089	-0.011	0.3785	-0.4227	1.3604	0.991	-0.6591
PARD6G	0.281	0.4866	0.0298	-0.1366	-0.3339	0.3609	-1.5061	-0.3605	-0.5648	-1.8398	-0.8547	-0.692	-2.3264	0.0138	-0.1829	-0.374	-1.8736	-0.7621	1.3746	1.3762	0.3643	-1.669	-0.3775	0.8312	-0.8479	3.4795	-1.1232	0.7608	-0.8228	-1.3926	0.1075	-1.3175	-3.4784	1.589	-0.0876	0.9288	-0.0393	0.9075	0.2387	-0.1105	0.7588	-1.1208	0.6836	-0.5627	0.8455	-0.8633	-0.8438	1.3174	-0.0831	-0.1559	-0.4522	1.3558	0.8164	1.5279	1.4789	0.2052	1.9392	-0.4857	0.8851	1.4965	1.1245	-1.203	-0.7432	-0.906	1.1085	-0.6737	1.5225	0.0286	1.198	0.2384	0.2718	1.2527	-0.8165	0.6402	1.3439	-0.0371	0.3459	0.4251	1.2461	0.3128	1.1618	-0.3302	-2.299	0.5213	1.2781	-0.7077	0.2504	-0.3703	0.2545	2.1259	0.8449	0.2378	0.7327	0.1624	0.0538	-0.7101	-2.2378	-0.2945	0.0488	-0.006	1.169	0.6522	0.2933	-0.3142	0.7387	-0.6982	0.3987	-0.0093	-0.5553	-0.4647	-0.1636	-0.4887	0.4311	0.0405	0.499	-0.4815	-0.5153	0.1527	0.2928	-0.3563	-0.0376	0.199	1.1194	-1.5056	-1.0527	0.8065	-0.2918	-0.6401	1.0228	-0.7876	-0.874	-0.3961	-1.6766	0.3089	-1.7791	-0.1472	-1.2211	-0.1452	-0.8089	-0.3978	-1.5968	0.8892	-0.2168	-1.0796	-0.6331	-1.589	0.4152	-0.7182	0.3445	-0.1235	0.6627	-1.9099	-0.5528	-0.3437	-1.2281	0.354	1.0895	-1.3801	0.9783	0.785	0.9244	0.7602	0.7767	1.9514	0.9221	0.9385	-0.0115	-0.3229	1.4026
PATJ	0.3644	0.085	0.8915	-0.4163	0.593	-0.1226	0.2987	0.2355	1.067	1.4899	-0.4836	0.4825	0.4326	1.2147	0.4959	-0.8949	0.5594	0.5536	0.0794	1.276	1.8026	-0.7559	1.0297	0.5833	0.6649	-0.1993	1.1644	0.8704	-0.8089	1.3913	-0.0791	0.6736	0.7308	-0.5213	0.0131	-0.4741	-1.0623	-0.6304	-0.489	-0.0513	-2.0134	0.0963	-0.1518	0.6717	-0.6595	0.883	-1.4076	0.9908	0.2229	-0.3056	-0.0326	-0.5778	-0.2612	-1.0717	-2.1171	-0.0531	0.7308	-0.4666	-0.795	0.017	0.2588	1.1963	1.7875	1.4325	-0.4858	0.5949	-0.2489	0.6548	-1.2695	-0.0811	0.0325	0.2772	0.6932	-1.8377	-0.09	-0.645	1.2028	-1.1016	1.4463	0.919	0.0762	0.9703	0.8665	-1.06	-0.2534	0.2822	-0.7773	-1.0362	-0.0294	-2.3143	-0.897	0.1498	0.263	-1.0683	0.4273	0.3766	1.1156	0.3895	2.08	1.696	-1.5871	-0.2953	-0.2976	-0.4331	0.0796	-1.0078	-0.1563	-0.0182	1.5375	1.3158	-0.2279	0.3545	-1.1297	2.3256	-0.4996	0.9301	1.114	-0.3415	-0.8441	0.2172	0.3488	-0.8147	-0.8849	0.4503	0.7904	0.3878	0.321	0.0507	-0.0587	1.4576	1.4219	-0.2884	2.2003	0.9633	1.0197	0.0737	0.5659	1.7084	-0.9423	-1.0585	-0.7661	0.6307	-1.5306	-0.9442	-1.5227	-0.5504	-0.3108	-1.9831	-2.546	-2.2273	-2.5753	-0.0921	0.0345	-2.6441	-0.501	-0.9638	-0.4106	2.015	-0.0453	-0.1386	-0.836	-0.7408	-0.6728	-1.3565	-0.128	-1.3999	1.9215	0.4494	-0.6601
POF1B	0.0834	-1.4331	-2.2227	0.5331	0.5128	-2.364	0.3308	0.9084	-0.2344	-0.1279	0.1577	0.7996	1.2726	-1.705	0.6828	0.8182	0.7109	0.5977	-0.3942	-2.1642	-1.9129	-1.3433	0.9395	1.3075	0.5069	0.9216	-1.4292	-0.0854	0.3356	0.829	0.8935	0.9778	0.1649	1.1634	1.1497	0.4872	0.3905	1.4556	0.7846	-0.0262	-0.8255	-1.1241	-1.7821	-1.0131	1.5107	-1.1463	-0.6183	0.0605	-1.1281	1.3376	0.9064	-0.0758	1.0534	-0.3996	-0.746	0.8851	0.7056	1.4435	0.6701	1.1098	0.5792	1.6787	1.3535	1.0933	-0.2256	-0.9294	0.9284	-1.0292	-0.7054	0.0253	-0.0895	-0.2056	-1.0729	-0.5891	-0.198	0.8465	1.0812	-0.5328	0.8349	0.8137	0.1529	-0.5913	1.4371	0.7035	0.2649	-0.1022	0.2161	-0.638	-0.0079	-0.8667	-0.0198	0.3384	0.4378	0.4737	-0.4673	-0.5236	2.5531	0.9224	1.8554	-2.0619	-0.8317	0.6788	0.7423	0.9637	0.0211	1.322	-0.3276	-0.4798	-1.2495	1.5862	0.6324	0.29	0.7264	1.1091	-0.8331	-0.9455	-0.7102	-1.206	1.1597	0.4293	-1.1361	1.4554	0.63	0.2608	-1.7708	0.7981	0.9484	-0.8823	-1.765	-1.0118	0.1274	-0.8503	0.3569	-0.0374	0.5377	0.4265	-1.4849	-1.7607	0.7837	-0.7061	0.7692	0.3892	0.1198	-0.3882	-0.9048	-1.7656	1.3902	-0.1331	-0.2657	-0.3809	-0.6168	-2.1224	1.1031	-0.8251	-1.6733	-0.6885	-0.9566	-2.316	-0.7966	0.4981	-0.4508	0.0664	0.5759	-0.5233	1.166	-0.8181	-1.3801	0.7901	-0.6902
PRKCI	-0.2538	0.6741	-0.5499	0.043	0.5303	-0.4596	-1.0036	-0.4396	-0.6499	0.2637	0.1746	-0.3545	-1.0149	1.6958	0.3162	-0.2382	0.3029	0.2366	0.8908	0.4694	1.644	0.9614	-0.3228	0.5588	0.7178	1.6677	-0.1303	0.7451	-0.5869	-0.1602	0.279	-0.5561	-0.8096	0.8611	0.4065	0.3496	0.1187	0.4943	0.9292	-0.2567	-0.1839	1.2048	0.0145	1.0461	0.1357	1.6567	-0.2272	0.0351	-0.4204	1.1396	0.4401	0.4688	1.4622	0.1871	0.0866	0.6239	3.6651	-0.3434	-0.0256	0.4269	-0.3847	0.8679	-0.1489	0.9626	0.5072	-0.1922	0.293	1.2307	-2.5121	1.0729	-0.1426	0.4596	0.6608	-1.2154	-0.7408	0.2113	0.4777	-0.5907	-0.5916	-0.798	0.3	-0.3853	1.2195	-0.9473	-0.2874	-0.684	-0.1416	-0.2087	-0.3535	-1.4398	-0.2065	1.5017	-0.2567	-0.3604	0.1682	0.1267	1.2679	0.3451	-0.7092	0.2392	-0.6955	-0.6176	-0.1818	-0.4018	-0.3976	0.1297	0.3232	1.0936	0.6619	0.0906	0.2987	0.6957	-1.1411	1.6114	0.2195	0.2242	-0.2369	-0.8019	-0.2132	0.1292	1.5461	0.0053	-0.144	1.3923	0.369	0.1172	0.0503	0.6611	1.033	1.3329	1.6826	0.0958	-2.0669	-0.0706	0.4105	0.9588	-0.7525	0.1243	0.5848	-0.0166	-1.3318	-0.3466	-1.5079	-2.8614	-1.6691	-2.3171	-0.2001	-2.2474	-3.2774	-3.226	-2.7768	-0.3369	0.7498	-2.721	0.3117	-0.3148	-0.8426	1.439	-0.5383	-0.9887	-1.1259	-0.2129	-0.6667	-0.668	1.2232	-0.2165	1.8463	-0.0971	-0.7342
RAB13	-0.732	-0.3773	-2.5967	-0.9083	-0.2819	-0.7454	0.9257	0.4841	-0.0173	-0.4471	-0.1865	-0.7716	0.8158	-1.447	-0.6932	-0.4497	-1.806	0.0407	0.4053	-0.7175	-1.1635	-0.9852	0.8626	-0.319	1.0047	1.5606	-0.8626	-0.6588	0.6278	0.7657	-0.3654	-0.3148	1.2678	-2.5242	-0.4812	1.6646	0.9426	-0.143	-0.8493	-1.3155	-0.7323	0.4438	0.2698	-0.2791	0.4656	1.7917	-0.8299	-0.1322	-0.1034	1.0489	1.1106	-0.4214	-1.0852	0.1651	0.7824	-0.5669	0.2984	-0.3211	0.2734	0.6819	-0.0483	-0.2745	0.4622	-1.0329	-0.3746	-0.6741	0.343	-0.2709	-1.5639	0.2489	-0.7552	-0.8071	-0.6244	2.1175	-0.8959	1.7336	-0.0153	-0.0382	0.1713	0.0995	-0.7802	-0.4063	-1.3596	0.2395	-0.3704	-0.6748	-0.4887	0.6521	-0.686	1.3746	-0.7043	-0.574	-1.5347	0.0248	-0.8806	-0.6156	-1.1761	0.32	-0.9021	0.3464	0.5294	-0.434	0.186	0.7304	-0.7295	0.5073	-0.7792	-0.2652	2.4271	0.6812	0.4574	-0.3038	-0.0063	-0.6538	-0.0744	0.0677	0.6474	-0.3016	-0.034	-0.9984	-0.8823	-0.2271	-0.2112	-0.6894	0.0094	-1.5216	-0.2617	1.0064	-0.7888	-1.9832	-2.2744	-0.2132	0.4767	-1.2101	1.4286	-0.3644	0.1179	-0.6203	-0.6017	0.3371	1.268	0.0538	1.1361	2.9696	2.0716	3.1318	0.1227	2.6769	2.2072	2.5088	0.6672	0.5811	0.2944	3.1214	0.9122	-0.0606	1.2829	0.2048	-0.4523	-0.1027	0.5087	-0.0026	-0.3186	-0.2781	-0.4046	0.7805	-0.0213	-0.2242	0.512
