subset	eligible	method	alpha	size	purity	endpoint	meta_rho	meta_p	meta_i2	meta_model	meta_n	meta_k	meta_ci_low	meta_ci_high	geo_rho	geo_p	geo_i2	geo_model	geo_n	abs_meta	abs_geo
all	True	z-mean	0.25	48	none	CD8A	-0.4112444479654935	7.59050278766318e-10	0.4267317870884177	DL random	420	4	-0.5199984389118633	-0.28936994300820307	-0.3468898965976924	1.8031129671571468e-08	0.0	fixed	251	0.4112444479654935	0.3468898965976924
all	True	z-mean	0.25	48	none	ImmuneScore	-0.4424855978538148	2.924905696091965e-07	0.6528774232284645	DL random	420	4	-0.5763498855261596	-0.28549540047903976	-0.35520364574919366	7.585746850674603e-09	0.0	fixed	251	0.4424855978538148	0.35520364574919366
all	True	z-mean	0.25	49	none	CD8A	-0.4156603672635286	2.1457301943554415e-10	0.4067724376662664	DL random	420	4	-0.5219258911548414	-0.29668980118975175	-0.35077399072290727	1.207271233510323e-08	0.0	fixed	251	0.4156603672635286	0.35077399072290727
all	True	z-mean	0.25	49	none	ImmuneScore	-0.4414727790898921	1.5315713093803416e-07	0.6347309253399751	DL random	420	4	-0.5723967912793709	-0.2885986735666136	-0.3560105776980561	6.964262403133381e-09	0.0	fixed	251	0.4414727790898921	0.3560105776980561
all	True	z-mean	0.25	50	none	CD8A	-0.4105552878842029	8.458723921766484e-11	0.36858531858656546	DL random	420	4	-0.5138810336635764	-0.29548788732902687	-0.3467557488980446	1.8280782136204268e-08	0.0	fixed	251	0.4105552878842029	0.3467557488980446
all	True	z-mean	0.25	50	none	ImmuneScore	-0.4377335911532557	1.6121788201708315e-07	0.6289424448202383	DL random	420	4	-0.5683154646413147	-0.2856435746915745	-0.35165754155440776	1.1010790016305202e-08	0.0	fixed	251	0.4377335911532557	0.35165754155440776
all	True	z-mean	0.25	51	none	CD8A	-0.4142586609274245	5.389750766890585e-11	0.3683978129082899	DL random	420	4	-0.5171406808018219	-0.2995760450457841	-0.35127299118432975	1.146141194766305e-08	0.0	fixed	251	0.4142586609274245	0.35127299118432975
all	True	z-mean	0.25	51	none	ImmuneScore	-0.4445982990504978	6.632355582335989e-08	0.6198541829376225	DL random	420	4	-0.5726076520099201	-0.2954261562875369	-0.36136552661357957	3.923467234342966e-09	0.0	fixed	251	0.4445982990504978	0.36136552661357957
all	True	z-mean	0.25	52	none	CD8A	-0.4137162476681766	4.8672460813714684e-11	0.364290461159396	DL random	420	4	-0.5162948231998087	-0.29943472789788456	-0.349374403072404	1.3959664652419494e-08	0.0	fixed	251	0.4137162476681766	0.349374403072404
all	True	z-mean	0.25	52	none	ImmuneScore	-0.4415903587167896	7.620343776302391e-08	0.6174530702509335	DL random	420	4	-0.5697090896837371	-0.2925177008586017	-0.3570602836734447	6.228958934462734e-09	0.0	fixed	251	0.4415903587167896	0.3570602836734447
all	True	z-mean	0.25	53	none	CD8A	-0.4182282075047826	1.1627454754544793e-10	0.3988207687169453	DL random	420	4	-0.5234307047044597	-0.30046610030611426	-0.3550874413505317	7.679539372484193e-09	0.0	fixed	251	0.4182282075047826	0.3550874413505317
all	True	z-mean	0.25	53	none	ImmuneScore	-0.44858994418663334	5.673332193652424e-08	0.6237065194097928	DL random	420	4	-0.5765553532556829	-0.29914451939797093	-0.36510341415884073	2.6106889444382442e-09	0.0	fixed	251	0.44858994418663334	0.36510341415884073
all	True	z-mean	0.25	54	none	CD8A	-0.4229961297437659	2.9187340869625627e-10	0.43479528809621426	DL random	420	4	-0.5311033373178031	-0.3013376180046934	-0.3605301423321444	4.294121056657376e-09	0.0	fixed	251	0.4229961297437659	0.3605301423321444
all	True	z-mean	0.25	54	none	ImmuneScore	-0.4540835963106053	6.826443495071969e-08	0.6383842204714676	DL random	420	4	-0.583506346796279	-0.30216685273583777	-0.3706797940254245	1.4067834878529673e-09	0.0	fixed	251	0.4540835963106053	0.3706797940254245
