gene	logFC	t	se	p	df	stat_low_vs_high
PAWR	0.3485465454920374	1.381504906309003	0.25229483000770286	0.17767570867889715	29	-1.381504906309003
SECISBP2L	0.40322527125731344	1.3816780830175146	0.2918373506922032	0.1776230554256056	29	-1.3816780830175146
DGCR6	0.5188086577646052	1.3819858826315965	0.37540807347227206	0.1775295011293612	29	-1.3819858826315965
PSMF1	0.23523627567457797	1.3822178266754326	0.17018755736957755	0.17745902830374824	29	-1.3822178266754326
UBQLNL	0.148027022662652	1.3825809000866636	0.10706572226867397	0.1773487577455532	29	-1.3825809000866636
CISD3	0.3663961863234317	1.3828066838165447	0.2649655881848782	0.17728021110148512	29	-1.3828066838165447
ZNF426	0.3077073472024855	1.3834244521210397	0.22242439529727445	0.17709276632364895	29	-1.3834244521210397
YOD1	0.46902911158441424	1.38396935476285	0.33890137087954864	0.17692755961083942	29	-1.38396935476285
GPRIN1	0.5230831590629647	1.384124764416794	0.3779161911631338	0.1768804637707878	29	-1.384124764416794
SNHG19	0.580026779702237	1.3841492600304233	0.4190493008604348	0.17687304143824714	29	-1.3841492600304233
SKA2	0.2733275864484063	1.3843207003023636	0.19744527867618106	0.17682110073993537	29	-1.3843207003023636
SLC29A1	0.5225573926703444	1.384933911485737	0.37731576094468827	0.1766354160411299	29	-1.384933911485737
PACSIN1	0.39236828726414197	1.3853399347569213	0.2832288865858681	0.1765125534797139	29	-1.3853399347569213
ATMIN	0.2701134771672669	1.3856170340409708	0.1949409328344617	0.17642874177854662	29	-1.3856170340409708
AQP6	0.17612207289879156	1.3858933878216348	0.12708197791146295	0.17634518665371396	29	-1.3858933878216348
ABI2	0.3044780558533579	1.3865952252593885	0.21958683421573127	0.17613312673690035	29	-1.3865952252593885
ZNF45	0.3077111402790407	1.3866163697714335	0.22191512157739998	0.17612674103639342	29	-1.3866163697714335
RNPC3	0.32531358823653594	1.3867610271077668	0.23458518221774013	0.17608305899674295	29	-1.3867610271077668
NECAB3	0.46049956612283904	1.387069961298432	0.3319944768263648	0.17598979889065394	29	-1.387069961298432
ZNF146	0.34397691592706336	1.3877225153498272	0.24787153924669958	0.1757929352717241	29	-1.3877225153498272
GPATCH2L	0.3487951234245174	1.387743354950596	0.2513397900124945	0.17578665119418616	29	-1.387743354950596
RHBDL3	0.4969175961022567	1.387934554137631	0.35802667684933304	0.17572900426246787	29	-1.387934554137631
PABPN1	0.26210883601262713	1.3884984126662423	0.18877143367367397	0.1755590861975645	29	-1.3884984126662423
RTTN	0.3273560139605639	1.388508225917782	0.2357609467845873	0.17555613012859522	29	-1.388508225917782
TCEAL1	0.3593035679688923	1.388808700656748	0.2587135058982441	0.17546563632404377	29	-1.388808700656748
EPM2A	0.25284663006981223	1.3889758032153732	0.18203818200755661	0.17541532598933332	29	-1.3889758032153732
ERCC6L	0.35169635923957177	1.3900870790973658	0.2530031136379895	0.17508103707777858	29	-1.3900870790973658
SSC4D	0.2854822941891114	1.3902392264450818	0.2053476040372601	0.1750353077698296	29	-1.3902392264450818
LENG8	0.3281587254886528	1.3903234239624653	0.2360304946552581	0.17501000545053685	29	-1.3903234239624653
TRIM14	0.4472080038051597	1.3907256831435186	0.3215644963098083	0.17488916159519835	29	-1.3907256831435186
IRF2BP1	0.31075091870337684	1.390842436337242	0.2234264001332413	0.1748540997009072	29	-1.390842436337242
CDKL5	0.37827170401250104	1.3908584201709027	0.271969956486312	0.17484930006072552	29	-1.3908584201709027
FEV	0.4624398777746894	1.3911277289961592	0.3324208612449894	0.1747684473190647	29	-1.3911277289961592
HOXB3	0.823937382210878	1.3913235727146764	0.5921968105544674	0.17470966894774567	29	-1.3913235727146764
ZNF775	0.43299386570301945	1.3913766628312176	0.3111981660105968	0.17469373774194838	29	-1.3913766628312176
