dataset,gene_a,gene_b,n,spearman_rho,p_value,fdr,bg_percentile,ci_low,ci_high
GTEx-lung,KRT5,SFTPC,655,0.03741562606737497,0.33903047437211536,0.3662439886428814,49.007960318412735,-0.04390226142530322,0.11824099206692484
GTEx-lung,SFTPC,TP63,655,0.017193489730386247,0.6604989458414808,0.6798489606476537,45.571322852914115,-0.06408048802194331,0.0982408919303549
GTEx-lung,FOXJ1,SFTPC,655,0.0647945726017389,0.09754791858418363,0.11569636855333408,53.61714468578743,-0.016476630998088913,0.14521522577742882
GTEx-lung,MUC5B,SFTPC,655,0.03714984256149195,0.34247498039847096,0.3664242797270354,48.96795871834874,-0.04416789879004446,0.11797855142617283
GTEx-lung,PTPRC,SFTPC,655,,,,,,
GTEx-lung,COL1A1,SFTPC,655,-0.17182483030733076,9.777499469763856e-06,1.6621749098598553e-05,18.030721228849153,-0.2495285584095501,-0.09192257464827143
GTEx-lung,PECAM1,SFTPC,655,-0.03488056214919614,0.3727879830848628,0.39335559594471725,36.815972638905556,-0.11573735279876964,0.04643546333304332
GTEx-lung,AGER,SFTPB,655,,,,,,
GTEx-lung,SCGB1A1,SFTPB,655,-0.06824702518586963,0.08092517667728662,0.09749253568208546,31.58876355054202,-0.14860817760559894,0.013009587065596183
GTEx-lung,SCGB3A2,SFTPB,655,0.42853040318405566,1.2277530307329874e-30,5.367034677204202e-30,93.60024400976039,0.35986561085738394,0.4925781219506799
GTEx-lung,KRT5,SFTPB,655,0.041406520847148194,0.28998913621161493,0.32150969449548616,49.693987759510385,-0.039912177990178294,0.12218033452128772
GTEx-lung,SFTPB,TP63,655,-0.04407934466088913,0.25994800409252605,0.2903068950814342,35.321412856514264,-0.12481720996670265,0.0372384466873164
GTEx-lung,FOXJ1,SFTPB,655,0.10441518970671383,0.007483982293370879,0.010133179565360572,60.04690187607504,0.0234292659120449,0.1840396357405897
GTEx-lung,MUC5B,SFTPB,655,0.1120067592025137,0.004102820939911725,0.005812329664874944,61.213948557942324,0.03110507306069936,0.1914503906967071
GTEx-lung,PTPRC,SFTPB,655,,,,,,
GTEx-lung,COL1A1,SFTPB,655,-0.1338487913480124,0.0005936249584840479,0.0009174203903844377,22.451898075923037,-0.2127217916370888,-0.053242820572077555
GTEx-lung,PECAM1,SFTPB,655,0.018326485870824562,0.6396611643214767,0.6657697832733737,45.75933037321493,-0.06295170668607918,0.09936318192704331
GTEx-lung,AGER,SCGB1A1,655,,,,,,
GTEx-lung,AGER,SCGB3A2,655,,,,,,
GTEx-lung,AGER,KRT5,655,,,,,,
GTEx-lung,AGER,TP63,655,,,,,,
GTEx-lung,AGER,FOXJ1,655,,,,,,
GTEx-lung,AGER,MUC5B,655,,,,,,
GTEx-lung,AGER,PTPRC,655,,,,,,
GTEx-lung,AGER,COL1A1,655,,,,,,
GTEx-lung,AGER,PECAM1,655,,,,,,
GTEx-lung,SCGB1A1,SCGB3A2,655,0.5191829480237594,1.735134110164311e-46,9.4812685305407e-46,97.091883675347,0.4572722711549818,0.5760856841728644
GTEx-lung,KRT5,SCGB1A1,655,0.3646857802899196,4.921684952972082e-22,1.673372884010508e-21,89.83459338373535,0.29215091561748724,0.4330490945388914
GTEx-lung,SCGB1A1,TP63,655,0.6190067319366447,1.5514784026062288e-70,1.186880977993765e-69,99.04296171846873,0.566279901351313,0.6666876923463027
GTEx-lung,FOXJ1,SCGB1A1,655,0.8588327462275045,7.165982144599676e-192,1.0963952681237504e-189,99.9894995799832,0.8359327336505756,0.8787475419386134
GTEx-lung,MUC5B,SCGB1A1,655,0.5679635733114842,3.2599315343512054e-57,2.1685631511118884e-56,98.21892875715028,0.5103093320835241,0.6205353104931343
GTEx-lung,PTPRC,SCGB1A1,655,,,,,,
