gene	cytoband	mean_log2_cldn4_high	mean_log2_cldn4_low	sd_log2_cldn4_high	sd_log2_cldn4_low	log2_ratio_high_over_low	p_value	q_value	higher_expression_in
NLGN3	Xq13.1	5.75	6.39	1.43	1.34	-0.64	6.232e-05	0.004769	CLDN4 Low
S100A13	1q21.3	11.41	10.98	0.93	0.93	0.43	6.334e-05	0.004829	CLDN4 High
SMIM10	Xq26.3	6.24	6.71	0.99	1.03	-0.47	6.363e-05	0.004833	CLDN4 Low
AKAP13	15q25.3	10.56	10.86	0.62	0.67	-0.3	6.4e-05	0.004842	CLDN4 Low
ATP5MF	7q22.1	12.13	11.76	0.76	0.84	0.37	6.57e-05	0.004952	CLDN4 High
ENTPD5	14q24.3	7.43	7.72	0.62	0.63	-0.29	6.711e-05	0.005037	CLDN4 Low
ACACB	12q24.11	8.09	8.5	0.95	0.86	-0.42	6.733e-05	0.005037	CLDN4 Low
PDAP1	7q22.1	11.04	10.85	0.39	0.43	0.19	6.854e-05	0.005108	CLDN4 High
UBALD2	17q25.1	11.17	10.85	0.68	0.7	0.32	6.911e-05	0.005132	CLDN4 High
FAM169A	5q13.3	6.22	6.75	1.17	1.15	-0.54	6.937e-05	0.005132	CLDN4 Low
GRM4	6p21.31	4.95	5.82	1.84	1.93	-0.87	6.999e-05	0.005155	CLDN4 Low
ATP6V0C	16p13.3	13.01	12.77	0.53	0.49	0.24	7.056e-05	0.005155	CLDN4 High
PANK3	5q34	8.25	8.53	0.63	0.58	-0.28	7.07e-05	0.005155	CLDN4 Low
PRKCD	3p21.1	11	10.69	0.63	0.73	0.31	7.072e-05	0.005155	CLDN4 High
TDP1	14q32.11	8.86	9.1	0.53	0.52	-0.24	7.128e-05	0.005172	CLDN4 Low
ZNF394	7q22.1	8.95	8.78	0.36	0.39	0.17	7.147e-05	0.005172	CLDN4 High
SMAD9	13q13.3	3.95	4.56	1.27	1.39	-0.61	7.21e-05	0.005195	CLDN4 Low
KANSL3	2q11.2	10.49	10.73	0.49	0.56	-0.24	7.23e-05	0.005195	CLDN4 Low
HSBP1L1	18q23	7.88	7.47	0.84	0.94	0.41	7.26e-05	0.005198	CLDN4 High
UNC79	14q32.12	4.75	5.33	1.23	1.3	-0.58	7.503e-05	0.005352	CLDN4 Low
MAL	2q11.1	9.95	8.84	2.15	2.65	1.1	7.609e-05	0.005409	CLDN4 High
KCNK15	20q13.12	10.91	10.27	1.35	1.46	0.64	7.638e-05	0.00541	CLDN4 High
AREG	4q13.3	5.15	4.2	2.18	1.96	0.95	7.707e-05	0.00544	CLDN4 High
FNDC11	20q13.33	4.92	4.23	1.48	1.56	0.7	7.789e-05	0.005474	CLDN4 High
FHL1	Xq26.3	9.11	9.74	1.33	1.39	-0.62	7.811e-05	0.005474	CLDN4 Low
SEL1L	14q31	10.51	10.76	0.52	0.57	-0.25	7.851e-05	0.005483	CLDN4 Low
LRRC58	3q13.33	10.19	10.43	0.55	0.5	-0.24	7.879e-05	0.005483	CLDN4 Low
INMT	7p14.3	4.77	5.42	1.39	1.47	-0.65	7.929e-05	0.005499	CLDN4 Low
GPR182	12q13.3	1.03	1.39	0.75	0.85	-0.37	8.009e-05	0.005535	CLDN4 Low
CDC7	1p22.1	7.69	8.12	0.96	0.9	-0.42	8.05e-05	0.005544	CLDN4 Low
AMY1A	1p21.1	6.57	5.15	3.02	3.19	1.42	8.17e-05	0.005599	CLDN4 High
TGFBR1	9q22.33	9.38	9.62	0.49	0.54	-0.24	8.194e-05	0.005599	CLDN4 Low
ZBTB26	9q33.2	6.65	6.93	0.6	0.64	-0.28	8.214e-05	0.005599	CLDN4 Low
HSPB1P1	9q21.13	3.43	3.03	0.86	0.89	0.4	8.281e-05	0.005626	CLDN4 High
ORC1	1p32.3	7.28	7.69	0.91	0.86	-0.4	8.364e-05	0.005663	CLDN4 Low
AK1	9q34.11	9.3	8.92	0.94	0.69	0.37	8.493e-05	0.005728	CLDN4 High
PLPP2	19p13.3	9.37	8.69	1.42	1.54	0.67	8.525e-05	0.005728	CLDN4 High
HS1BP3	2p24.1	9.34	9.11	0.57	0.45	0.23	8.561e-05	0.005728	CLDN4 High
AGGF1	5q13.3	9.3	9.5	0.45	0.42	-0.2	8.575e-05	0.005728	CLDN4 Low
CEP128	14q31.1	6.31	6.67	0.87	0.73	-0.37	8.632e-05	0.005747	CLDN4 Low
STXBP2	19p13.2	11.13	10.83	0.64	0.7	0.31	8.739e-05	0.005799	CLDN4 High
RFC5	12q24.23	8.96	9.23	0.58	0.59	-0.27	8.956e-05	0.005923	CLDN4 Low
PRIM1	12q13.3	7.34	7.71	0.85	0.78	-0.37	8.988e-05	0.005925	CLDN4 Low
ELP1	9q31.3	9.5	9.73	0.48	0.56	-0.24	9.135e-05	0.005989	CLDN4 Low
ATM	11q22.3	9.17	9.46	0.6	0.68	-0.29	9.146e-05	0.005989	CLDN4 Low
WDR76	15q15.3	7.35	7.71	0.82	0.78	-0.36	9.207e-05	0.005996	CLDN4 Low
RBM12	20q11.22	10.75	10.89	0.3	0.3	-0.14	9.216e-05	0.005996	CLDN4 Low
INVS	9q31.1	7.62	7.87	0.56	0.55	-0.25	9.362e-05	0.006072	CLDN4 Low
SLC34A2	4p15.2	14.14	13.37	1.26	2.06	0.77	9.441e-05	0.006085	CLDN4 High
SLC39A9	14q24.1	10.58	10.79	0.46	0.47	-0.21	9.444e-05	0.006085	CLDN4 Low
FOS	14q24.3	12.22	11.49	1.63	1.6	0.73	9.538e-05	0.006092	CLDN4 High
PDE4C	19p13.11	6.27	5.5	1.52	1.85	0.76	9.552e-05	0.006092	CLDN4 High
MTOR	1p36.22	10.59	10.87	0.67	0.57	-0.28	9.562e-05	0.006092	CLDN4 Low
SYNJ2BP	14q24.2	9.53	9.73	0.42	0.46	-0.2	9.598e-05	0.006092	CLDN4 Low
CYB561	17q23.3	10.95	10.66	0.6	0.68	0.29	9.628e-05	0.006092	CLDN4 High
KNTC1	12q24.31	8.74	9.12	0.85	0.84	-0.38	9.638e-05	0.006092	CLDN4 Low
TRAF4	17q11.2	10.69	10.37	0.75	0.67	0.32	9.799e-05	0.006174	CLDN4 High
SYNPO2L	10q22.2	3.3	3.86	1.33	1.16	-0.56	9.953e-05	0.006237	CLDN4 Low
EGR1	5q31.2	12.36	11.68	1.54	1.5	0.68	9.969e-05	0.006237	CLDN4 High
ZZEF1	17p13.2	9.58	9.86	0.58	0.68	-0.28	0.0001001	0.006237	CLDN4 Low
WRN	8p12	7.64	7.94	0.66	0.67	-0.3	0.0001002	0.006237	CLDN4 Low
SYNE1	6q25.2	7.92	8.36	1.01	0.96	-0.44	0.0001006	0.006237	CLDN4 Low
LZTS3	20p13	11.36	10.93	0.89	1.03	0.43	0.0001017	0.006289	CLDN4 High
RCC1L	7q11.23	9.82	9.63	0.39	0.45	0.19	0.0001021	0.006292	CLDN4 High
PON2	7q21.3	10.8	10.52	0.59	0.66	0.28	0.0001025	0.006294	CLDN4 High
FAM98C	19q13.2	8.46	8.15	0.64	0.74	0.31	0.0001031	0.006294	CLDN4 High
NASP	1p34.1	10.72	11	0.63	0.61	-0.28	0.0001033	0.006294	CLDN4 Low
LEF1	4q25	8.72	9.35	1.4	1.41	-0.63	0.0001034	0.006294	CLDN4 Low
KRT19	17q21.2	13.68	13.22	0.88	1.17	0.47	0.000104	0.006299	CLDN4 High
SPTLC2	14q24.3	10.03	10.29	0.58	0.59	-0.26	0.0001041	0.006299	CLDN4 Low
GNB2	7q22.1	12.6	12.39	0.47	0.46	0.21	0.000105	0.006316	CLDN4 High
BTBD7	14q32.12	9.68	9.92	0.57	0.52	-0.24	0.0001051	0.006316	CLDN4 Low
CDK5RAP2	9q33.2	9.97	10.23	0.61	0.55	-0.26	0.0001053	0.006316	CLDN4 Low
PDE4D	5q11.2-q12.1	7	7.5	1.11	1.13	-0.5	0.0001059	0.006333	CLDN4 Low
PRR15L	17q21.32	8.75	8.12	1.29	1.51	0.63	0.0001064	0.006345	CLDN4 High
CCDC93	2q14.1	8.92	9.17	0.58	0.53	-0.25	0.0001071	0.006353	CLDN4 Low
CCNT1	12q13.11-q13.12	7.21	7.51	0.72	0.59	-0.29	0.0001072	0.006353	CLDN4 Low
SMC1A	Xp11.22	11.01	11.3	0.65	0.61	-0.28	0.0001083	0.006394	CLDN4 Low
TXLNA	1p35.2	10.85	11.07	0.51	0.45	-0.22	0.0001088	0.006394	CLDN4 Low
CAMSAP3	19p13.2	10.43	10.01	0.73	1.09	0.42	0.0001088	0.006394	CLDN4 High
UBR4	1p36.13	11.68	11.91	0.54	0.51	-0.24	0.0001105	0.00647	CLDN4 Low
TTLL5	14q24.3	9.58	9.81	0.51	0.55	-0.24	0.0001113	0.006501	CLDN4 Low
MPHOSPH9	12q24.31	7.65	7.97	0.72	0.7	-0.32	0.0001123	0.006524	CLDN4 Low
RAPGEF6	5q31.1	7.33	7.62	0.61	0.65	-0.28	0.0001124	0.006524	CLDN4 Low
NDUFA13	19p13.11	11.89	11.55	0.75	0.74	0.33	0.0001133	0.006562	CLDN4 High
RBBP8NL	20q13.33	7.34	6.62	1.26	1.91	0.72	0.0001141	0.006589	CLDN4 High
TCF7	5q31.1	8.56	9.02	1.08	0.99	-0.46	0.000116	0.006642	CLDN4 Low
ARIH2	3p21.31	10.26	10.46	0.45	0.44	-0.2	0.000116	0.006642	CLDN4 Low
CARD8	19q13.33	8.33	8.57	0.53	0.54	-0.24	0.0001162	0.006642	CLDN4 Low
DDHD1	14q22.1	8.11	8.39	0.6	0.65	-0.28	0.0001166	0.006642	CLDN4 Low
CERS6	2q24.3	9.72	9.97	0.55	0.57	-0.25	0.000117	0.006642	CLDN4 Low
NOP10	15q14	10.45	10.11	0.77	0.71	0.33	0.0001171	0.006642	CLDN4 High
ZSCAN20	1p35.1	6.23	6.52	0.67	0.6	-0.28	0.0001174	0.006642	CLDN4 Low
SACS	13q12.12	7.65	7.98	0.73	0.74	-0.33	0.0001184	0.006667	CLDN4 Low
ARHGAP27P2	17q24.2	3.08	2.31	1.86	1.57	0.77	0.0001187	0.006667	CLDN4 High
PCGF6	10q24.33	6.8	7.06	0.58	0.58	-0.26	0.0001188	0.006667	CLDN4 Low
MYL12A	18p11.31	12.39	12.12	0.63	0.55	0.26	0.0001206	0.006747	CLDN4 High
FAM174C	19p13.3	9.54	9.22	0.79	0.65	0.32	0.000121	0.006753	CLDN4 High
CD82	11p11.2	10.49	10.04	1	1.02	0.45	0.0001214	0.006757	CLDN4 High
ADSS2	1q44	10.51	10.3	0.48	0.47	0.21	0.0001218	0.006758	CLDN4 High
ZNF417	19q13.43	7.02	7.3	0.66	0.58	-0.28	0.0001228	0.006792	CLDN4 Low
SYCE3	22q13.33	3.16	2.51	1.52	1.4	0.65	0.0001232	0.0068	CLDN4 High
PPP4R2	3p13	8.53	8.79	0.62	0.53	-0.26	0.0001238	0.006811	CLDN4 Low
PTPN11	12q24.13	10.66	10.89	0.52	0.53	-0.23	0.0001241	0.006811	CLDN4 Low
SLC7A3	Xq13.1	3.24	4.23	2.07	2.37	-0.99	0.0001245	0.006811	CLDN4 Low
NEU3	11q13.4	7.12	7.43	0.79	0.6	-0.31	0.0001259	0.006865	CLDN4 Low
MTMR4	17q22	9.79	10.03	0.48	0.57	-0.23	0.0001264	0.006865	CLDN4 Low
NEMP1	12q13.3	9.4	9.66	0.61	0.59	-0.26	0.0001268	0.006865	CLDN4 Low
DMC1	22q13.1	3.04	3.72	1.54	1.52	-0.68	0.0001275	0.006865	CLDN4 Low
MLH3	14q24.3	8.17	8.39	0.49	0.53	-0.23	0.0001277	0.006865	CLDN4 Low
THEMIS2	1p35.3	10.24	9.73	1.15	1.15	0.51	0.0001282	0.006865	CLDN4 High
TRPM7	15q21.2	9.1	9.36	0.6	0.55	-0.25	0.0001283	0.006865	CLDN4 Low
PDCD7	15q22.31	9.03	9.23	0.47	0.46	-0.21	0.0001283	0.006865	CLDN4 Low
NDUFB3	2q33.1	9.88	9.6	0.68	0.59	0.28	0.0001285	0.006865	CLDN4 High
CRIP2	14q32.33	12.75	12.39	0.79	0.84	0.36	0.0001294	0.006891	CLDN4 High
C19ORF33	19q13.2	10.98	10.35	1.31	1.57	0.64	0.0001306	0.006938	CLDN4 High
DPF1	19q13.2	4.31	5.21	2.11	1.93	-0.89	0.0001325	0.006994	CLDN4 Low
SDR9C7	12q13.3	0.39	0.74	0.62	0.93	-0.35	0.0001327	0.006994	CLDN4 Low
ZSCAN22	19q13.43	6.85	7.12	0.64	0.59	-0.27	0.000133	0.006994	CLDN4 Low
POMZP3	7q11.23	7.75	7.31	0.94	1.03	0.43	0.0001333	0.006994	CLDN4 High
XPOT	12q14.2	10.8	11.06	0.54	0.61	-0.26	0.0001334	0.006994	CLDN4 Low
RBSN	3p25.1	9.19	9.39	0.45	0.49	-0.21	0.000134	0.007009	CLDN4 Low
HIRA	22q11.21	9.52	9.77	0.6	0.52	-0.25	0.0001359	0.007086	CLDN4 Low
DNAJC17	15q15.1	7.54	7.29	0.54	0.59	0.25	0.0001373	0.007143	CLDN4 High
CHCHD5	2q14.1	9.15	8.88	0.65	0.6	0.28	0.0001384	0.007167	CLDN4 High
COMMD7	20q11.21	10.8	10.57	0.5	0.55	0.23	0.0001387	0.007167	CLDN4 High
PFDN2	1q23.3	9.64	9.39	0.58	0.54	0.25	0.0001389	0.007167	CLDN4 High
NDUFA7	19p13.2	10.29	9.92	0.88	0.81	0.37	0.0001397	0.007191	CLDN4 High
TAF1	Xq13.1	9.29	9.55	0.6	0.59	-0.26	0.000141	0.007211	CLDN4 Low
AGR2	7p21.1	6.5	5.36	2.48	2.68	1.14	0.000141	0.007211	CLDN4 High
GIPC1	19p13.12	12.2	11.89	0.74	0.64	0.3	0.0001412	0.007211	CLDN4 High
FAM107A	3p14.3-p14.2	10.54	9.7	1.95	1.9	0.84	0.0001466	0.00747	CLDN4 High
GADD45B	19p13.3	9.14	8.65	1.02	1.21	0.49	0.0001471	0.007478	CLDN4 High
LRRC8E	19p13.2	8.02	7.62	0.81	0.97	0.39	0.000148	0.007505	CLDN4 High
SIGIRR	11p15.5	10.07	9.77	0.66	0.72	0.3	0.0001491	0.007529	CLDN4 High
USP13	3q26.33	8.28	8.63	0.83	0.73	-0.34	0.0001493	0.007529	CLDN4 Low
GET4	7p22.3	10.27	10.01	0.58	0.61	0.26	0.0001499	0.007529	CLDN4 High
ADAT3	19p13.3	7.16	6.87	0.67	0.62	0.28	0.0001503	0.007529	CLDN4 High
C19ORF53	19p13.13	11.7	11.36	0.82	0.71	0.34	0.0001504	0.007529	CLDN4 High
TOB1	17q21.33	10.53	10.25	0.66	0.65	0.29	0.0001535	0.007666	CLDN4 High
TGFBRAP1	2q12.1-q12.2	8.28	8.53	0.59	0.55	-0.25	0.0001547	0.007708	CLDN4 Low
MED1	17q12	9.84	10.07	0.55	0.49	-0.23	0.0001553	0.007716	CLDN4 Low
SMIM29	6p21.31	9.08	8.77	0.78	0.63	0.31	0.0001564	0.00775	CLDN4 High
YLPM1	14q24.3	10.41	10.63	0.55	0.49	-0.23	0.0001587	0.007844	CLDN4 Low
CYBA	16q24.2	12.4	12.01	0.88	0.92	0.39	0.0001591	0.007844	CLDN4 High
LIMD1	3p21.31	9.34	9.57	0.52	0.5	-0.22	0.0001597	0.007857	CLDN4 Low
MCM6	2q21.3	10.08	10.39	0.69	0.72	-0.31	0.0001615	0.007925	CLDN4 Low
ALMS1	2p13.1	9.28	9.59	0.69	0.72	-0.31	0.0001627	0.007953	CLDN4 Low
SPAG9	17q21.33	9.54	9.78	0.51	0.61	-0.25	0.0001629	0.007953	CLDN4 Low
SLC1A4	2p14	9.03	9.34	0.72	0.72	-0.31	0.0001638	0.007978	CLDN4 Low
DNASE2	19p13.13	10.95	10.67	0.67	0.6	0.28	0.0001644	0.007988	CLDN4 High
PMS2P4	7q11.21	5.25	4.96	0.63	0.72	0.29	0.0001664	0.008065	CLDN4 High
NUDT4	12q22	9.12	9.48	0.81	0.83	-0.36	0.0001669	0.008065	CLDN4 Low
SMG6	17p13.3	9.55	9.82	0.59	0.64	-0.27	0.0001672	0.008065	CLDN4 Low
TMBIM1	2q35	11.88	11.61	0.67	0.58	0.27	0.0001676	0.008065	CLDN4 High
TNFRSF12A	16p13.3	10.63	10.24	0.86	0.92	0.39	0.0001684	0.008085	CLDN4 High
POLE	12q24.33	9.79	10.1	0.76	0.68	-0.31	0.0001697	0.008128	CLDN4 Low
GOLGA1	9q33.3	8.6	8.82	0.52	0.53	-0.23	0.0001719	0.008216	CLDN4 Low
TAF1L	9p21.1	4.11	4.43	0.74	0.73	-0.32	0.0001728	0.008236	CLDN4 Low
WHAMMP3	15q11.2	3.54	4	0.99	1.13	-0.46	0.0001752	0.008321	CLDN4 Low
PPP4R3A	14q32.12	10.07	10.28	0.49	0.47	-0.21	0.0001755	0.008321	CLDN4 Low
GPX5	6p22.1	0.07	0.36	0.22	0.9	-0.29	0.0001758	0.008321	CLDN4 Low
FOXJ3	1p34.2	10.5	10.74	0.57	0.51	-0.23	0.0001766	0.008321	CLDN4 Low
ANGEL1	14q24.3	9.54	9.78	0.55	0.58	-0.25	0.0001766	0.008321	CLDN4 Low
UBE2Q1	1q21.3	11.11	10.96	0.37	0.33	0.15	0.0001797	0.008411	CLDN4 High
HM13	20q11.21	12.24	12.03	0.49	0.46	0.21	0.0001799	0.008411	CLDN4 High
C2CD4D	1q21.3	5.17	4.77	0.92	0.96	0.41	0.00018	0.008411	CLDN4 High
KDM4A	1p34.2-p34.1	10.77	11	0.53	0.53	-0.23	0.0001802	0.008411	CLDN4 Low
OST4	2p23.3	12.87	12.58	0.68	0.69	0.3	0.0001816	0.008454	CLDN4 High
SPATC1L	21q22.3	8.96	8.35	1.2	1.6	0.61	0.0001823	0.008469	CLDN4 High
HDAC4	2q37.3	8.93	9.25	0.74	0.77	-0.33	0.0001834	0.0085	CLDN4 Low
PMS2P2	7q11.23	7.23	6.98	0.54	0.6	0.25	0.000185	0.008542	CLDN4 High
NPNT	4q24	8.03	8.69	1.61	1.48	-0.67	0.0001852	0.008542	CLDN4 Low
DYNC1H1	14q32.31	12.2	12.44	0.54	0.59	-0.24	0.0001873	0.008618	CLDN4 Low
SPECC1L	22q11.23	9.9	10.17	0.59	0.65	-0.27	0.0001879	0.008629	CLDN4 Low
KCNJ8	12p12.1	6.66	7.17	1.11	1.21	-0.5	0.0001913	0.008748	CLDN4 Low
POLA1	Xp22.11-p21.3	8.49	8.74	0.56	0.59	-0.25	0.0001914	0.008748	CLDN4 Low
ZNF207	17q11.2	11.75	11.88	0.3	0.3	-0.13	0.000192	0.008755	CLDN4 Low
ZNF813	19q13.42	6.14	6.44	0.73	0.62	-0.29	0.0001937	0.008793	CLDN4 Low
MAST2	1p34.1	10.4	10.63	0.55	0.51	-0.23	0.0001937	0.008793	CLDN4 Low
PM20D2	6q15	9.46	9.8	0.76	0.81	-0.34	0.0001965	0.008889	CLDN4 Low
GCNT3	15q22.2	5.57	4.71	2.14	1.86	0.86	0.0001971	0.008889	CLDN4 High
TRADD	16q22.1	8.64	8.36	0.64	0.65	0.28	0.0001971	0.008889	CLDN4 High
PCOLCE2	3q23	4.49	5.21	1.68	1.65	-0.72	0.0001993	0.008964	CLDN4 Low
HTATSF1	Xq26.3	10.07	10.27	0.47	0.49	-0.21	0.0002004	0.008991	CLDN4 Low
HSPA8	11q24.1	14.62	14.82	0.46	0.48	-0.2	0.0002008	0.008991	CLDN4 Low
KCNAB3	17p13.1	4.39	4.88	1.23	1.05	-0.49	0.0002025	0.00902	CLDN4 Low
SLC43A1	11q12.1	6.47	6.89	0.88	1.04	-0.41	0.0002029	0.00902	CLDN4 Low
WNK3	Xp11.22	5.72	6.15	1.07	0.93	-0.43	0.0002031	0.00902	CLDN4 Low
NOL9	1p36.31	8.02	8.3	0.69	0.62	-0.28	0.0002032	0.00902	CLDN4 Low
SMC2	9q31.1	9.25	9.54	0.67	0.65	-0.28	0.0002044	0.009042	CLDN4 Low
ALS2CL	3p21.31	8.61	7.99	1.36	1.57	0.63	0.0002048	0.009042	CLDN4 High
SOS1	2p22.1	10.6	10.85	0.55	0.6	-0.25	0.0002053	0.009042	CLDN4 Low
ZNF765	19q13.42	7.31	7.57	0.58	0.62	-0.26	0.0002055	0.009042	CLDN4 Low
C5	9q33.2	5.05	5.6	1.22	1.37	-0.55	0.0002074	0.009095	CLDN4 Low
CLDN7	17p13.1	11.93	11.47	0.65	1.36	0.46	0.0002076	0.009095	CLDN4 High
CHRNA5	15q25.1	5.45	6.05	1.54	1.25	-0.6	0.0002084	0.00911	CLDN4 Low
CCND2	12p13.32	9.04	9.78	1.57	1.84	-0.73	0.000209	0.009113	CLDN4 Low
TALDO1	11p15.5	11.57	11.33	0.59	0.52	0.24	0.0002109	0.009176	CLDN4 High
GXYLT1	12q12	8.63	8.91	0.63	0.67	-0.28	0.0002123	0.0092	CLDN4 Low
CEP97	3q12.3	6.68	6.98	0.74	0.68	-0.3	0.0002126	0.0092	CLDN4 Low
CEP192	18p11.21	8.98	9.23	0.56	0.58	-0.24	0.0002142	0.0092	CLDN4 Low
ARHGAP8	22q13.31	9.05	8.68	0.61	1.05	0.37	0.0002143	0.0092	CLDN4 High
POLR2L	11p15.5	11.27	10.96	0.75	0.72	0.31	0.0002146	0.0092	CLDN4 High
MED13L	12q24.21	10.33	10.6	0.65	0.63	-0.27	0.0002146	0.0092	CLDN4 Low
PIM3	22q13.33	10.15	9.83	0.72	0.75	0.31	0.0002146	0.0092	CLDN4 High
TVP23A	16p13.13	5.04	5.71	1.52	1.58	-0.66	0.0002189	0.009361	CLDN4 Low
MTX2	2q31.1	9.82	9.59	0.52	0.52	0.22	0.0002214	0.009447	CLDN4 High
SCD	10q24.31	11.09	11.6	1.27	1.12	-0.51	0.0002221	0.009449	CLDN4 Low
HERC1	15q22.31	9.33	9.58	0.57	0.6	-0.25	0.0002223	0.009449	CLDN4 Low
CGN	1q21.3	10.85	10.48	0.71	1	0.37	0.0002243	0.009513	CLDN4 High
PLXNC1	12q22	6.65	7.14	1.23	1.06	-0.49	0.0002251	0.009524	CLDN4 Low
FXYD3	19q13.12	9.9	9.15	1.52	1.95	0.74	0.0002263	0.009558	CLDN4 High
CLDN12	7q21.13	9.89	9.68	0.51	0.46	0.21	0.000228	0.009576	CLDN4 High
CNKSR2	Xp22.12	3.4	4.11	1.63	1.71	-0.71	0.0002286	0.009576	CLDN4 Low
PAFAH1B1	17p13.3	10.86	11.07	0.46	0.54	-0.21	0.0002287	0.009576	CLDN4 Low
ACSF2	17q21.33	9.49	9.12	0.9	0.85	0.37	0.0002289	0.009576	CLDN4 High
PROSER2	10p14	9.05	8.64	0.86	1.08	0.42	0.0002298	0.009576	CLDN4 High
TMPRSS2	21q22.3	5.41	4.5	2.16	2.13	0.91	0.0002301	0.009576	CLDN4 High
CDC25A	3p21.31	7.52	7.9	0.95	0.8	-0.37	0.0002302	0.009576	CLDN4 Low
FUT4	11q21	7.03	7.3	0.62	0.64	-0.27	0.0002311	0.009576	CLDN4 Low
TLE5	19p13.3	12.8	12.54	0.61	0.59	0.25	0.0002323	0.009576	CLDN4 High
TP53TG1	7q21.12	7.69	7.35	0.83	0.74	0.33	0.0002337	0.009576	CLDN4 High
CUL4B	Xq24	10.48	10.67	0.44	0.42	-0.18	0.000234	0.009576	CLDN4 Low
ZNF592	15q25.3	10.44	10.69	0.59	0.58	-0.25	0.000234	0.009576	CLDN4 Low
ITGB8	7p21.1	11.85	11.34	1.07	1.3	0.5	0.0002341	0.009576	CLDN4 High
CAMK2A	5q32	1.36	1.85	0.99	1.27	-0.48	0.0002344	0.009576	CLDN4 Low
ZFP69B	1p34.2	5.4	5.81	1.04	0.91	-0.42	0.000235	0.009576	CLDN4 Low
KCNB2	8q21.11	2.94	3.77	1.86	2.05	-0.83	0.0002352	0.009576	CLDN4 Low
SCAND1	20q11.23	10.78	10.52	0.65	0.57	0.26	0.0002353	0.009576	CLDN4 High
CSRNP1	3p22.2	9.87	9.56	0.72	0.74	0.31	0.0002354	0.009576	CLDN4 High
GTF3C4	9q34.13	8.82	9.07	0.6	0.57	-0.25	0.0002363	0.009594	CLDN4 Low
KCTD15	19q13.11	9.11	9.59	1.24	0.98	-0.48	0.0002369	0.009599	CLDN4 Low
GINS3	16q21	7.6	7.85	0.62	0.59	-0.25	0.0002383	0.009636	CLDN4 Low
NXPH4	12q13.3	8.48	9.36	2.19	1.96	-0.88	0.0002398	0.009676	CLDN4 Low
VPS53	17p13.3	9.51	9.78	0.64	0.64	-0.27	0.0002415	0.009725	CLDN4 Low
ZFYVE9	1p32.3	9.14	9.41	0.67	0.6	-0.27	0.000245	0.009845	CLDN4 Low
SMCR8	17p11.2	9.67	9.89	0.54	0.52	-0.22	0.0002459	0.009856	CLDN4 Low
GCN1	12q24.23	11.53	11.78	0.64	0.57	-0.26	0.0002462	0.009856	CLDN4 Low
NCR3LG1	11p15.1	4.92	5.49	1.31	1.34	-0.56	0.0002475	0.00988	CLDN4 Low
LGALS9C	17p11.2	2.11	1.59	1.37	1.02	0.51	0.0002482	0.00988	CLDN4 High
COMT	22q11.21	10.67	10.41	0.61	0.59	0.26	0.0002483	0.00988	CLDN4 High
GPR156	3q13.33	4.86	5.45	1.48	1.26	-0.58	0.0002493	0.009898	CLDN4 Low
PLPPR1	9q31.1	1.1	1.88	1.56	2.11	-0.78	0.0002509	0.00993	CLDN4 Low
MRC2	17q23.2	10.86	11.28	0.94	1.08	-0.43	0.000251	0.00993	CLDN4 Low
HDGF	1q23.1	13.9	13.72	0.42	0.46	0.18	0.0002517	0.009933	CLDN4 High
DDI2	1p36.21	6.66	6.97	0.82	0.66	-0.32	0.0002525	0.009933	CLDN4 Low
SSH1	12q24.11	10.14	10.38	0.58	0.54	-0.24	0.0002526	0.009933	CLDN4 Low
FAM222A	12q24.11	6.74	7.26	1.29	1.19	-0.52	0.0002542	0.009977	CLDN4 Low
S100A14	1q21.3	10.11	9.48	1.28	1.67	0.63	0.0002548	0.009978	CLDN4 High
OCRL	Xq26.1	9.82	10.03	0.49	0.48	-0.21	0.0002562	0.01	CLDN4 Low
DLX1	2q31.1	0.99	1.62	0.97	1.87	-0.63	0.0002566	0.01	CLDN4 Low
LPL	8p21.3	6.22	6.82	1.39	1.43	-0.6	0.0002592	0.0101	CLDN4 Low
SNRNP200	2q11.2	12.63	12.88	0.54	0.63	-0.25	0.000261	0.0101	CLDN4 Low
GXYLT2	3p13	7.42	7.86	0.98	1.13	-0.45	0.0002611	0.0101	CLDN4 Low
RBM12B	8q22.1	8.83	9.03	0.49	0.48	-0.21	0.0002612	0.0101	CLDN4 Low
NDUFC1	4q31.1	9.8	9.48	0.72	0.78	0.32	0.0002612	0.0101	CLDN4 High
PPP1CC	12q24.11	11.79	11.99	0.45	0.46	-0.19	0.0002618	0.0101	CLDN4 Low
SLFN11	17q12	9.08	9.41	0.78	0.78	-0.33	0.0002653	0.0102	CLDN4 Low
SOWAHB	4q21.1	6.33	5.89	0.9	1.19	0.44	0.0002674	0.0103	CLDN4 High
ERN2	16p12.2	3.4	2.67	1.88	1.58	0.73	0.0002692	0.0103	CLDN4 High
SYNRG	17q12	9.29	9.5	0.53	0.51	-0.22	0.0002721	0.0104	CLDN4 Low
TBCEL	11q23.3	8.01	8.26	0.62	0.56	-0.25	0.0002722	0.0104	CLDN4 Low
CAND1	12q14.3-q15	11.23	11.47	0.57	0.56	-0.24	0.0002735	0.0104	CLDN4 Low
ANKRD37	4q35.1	6.64	6.27	0.94	0.84	0.37	0.0002743	0.0104	CLDN4 High
H2BC4	6p22.2	6.94	6.32	1.38	1.55	0.62	0.0002745	0.0104	CLDN4 High
