sample	TACSTD2	CLDN4	CD8	CYT	GEP18	CD8_AB	ESTIMATE_StromalScore	ESTIMATE_ImmuneScore	ESTIMATE_Score	ESTIMATE_purity_raw	ESTIMATE_purity	ESTIMATE	ABSOLUTE_purity	LEUK
TCGA-37-4141-01	12.1227	11.4466	9.6507	7.3742	0.2709201092743019	10.68725	-416.73	437.08	20.35	0.8208067668427433	0.8208067668427433	437.08	0.76	0.225082853569416
TCGA-37-5819-01	8.5663	12.5566	8.3172	7.6091	-0.02766498640318339	7.4272	-667.93	-31.24	-699.17	0.8764500440650262	0.8764500440650262	-31.24	0.71	0.13808751551565
TCGA-37-A5EL-01	12.7036	11.6918	6.9624	7.5965	-0.5454952837101846	5.48145	-1766.44	-446.87	-2213.31	0.9610280831841961	0.9610280831841961	-446.87	0.77	0.0850731360234295
TCGA-37-A5EM-01	13.9888	13.0824	8.5897	7.60825	0.364137649545943	7.3361	689.3	949.82	1639.11	0.6632902111812553	0.6632902111812553	949.82		0.295214741523552
TCGA-37-A5EN-01	13.0092	12.3796	7.9879	6.7075	-0.07136200776097547	9.1603	-1041.61	-122.62	-1164.23	0.9072524171966655	0.9072524171966655	-122.62	0.54	0.278836784507137
TCGA-39-5011-01	12.8673	12.8242	9.3851	9.963149999999999	1.0316118659549416	8.3349	-149.24	1986.79	1837.54	0.6412142327469283	0.6412142327469283	1986.79	0.43	0.503796490922355
TCGA-39-5016-01	14.6014	13.1576	9.1254	8.34195	0.8757603640070447	8.11955	-936.8	980.11	43.31	0.8188769953002043	0.8188769953002043	980.11	0.51	0.271814391896928
TCGA-39-5019-01	12.6364	13.4077	8.329	7.3598	0.17507895646797633	7.732200000000001	-74.73	492.87	418.14	0.7860735790457546	0.7860735790457546	492.87	0.55	0.355212557864643
TCGA-39-5021-01	10.9455	11.7855	8.9484	7.92385	0.5357971407909647	7.6217	-215.61	643.45	427.84	0.7851926554981701	0.7851926554981701	643.45	0.4	0.475936210468477
TCGA-39-5022-01	12.8722	12.1564	10.2854	9.90775	1.7811899350929867	9.42765	793.96	2160.62	2954.58	0.5073536458086743	0.5073536458086743	2160.62	0.26	0.565688574757016
TCGA-39-5024-01	14.286	11.6322	7.6201	6.79795	0.12202123802628322	6.8848	-1120.63	324.13	-796.5	0.8832394096060381	0.8832394096060381	324.13	0.32	0.482285730168572
TCGA-39-5027-01	12.0401	12.2998	6.2213	5.804550000000001	-0.8784944739363557	5.95485	-1904.52	-949.53	-2854.04	0.9827430761159964	0.9827430761159964	-949.53	0.68	0.217740836529671
