gene	contrast	mean_KO	mean_WT	log2FC	cohens_d	t_stat	p_welch	q_welch_BH	p_mannwhitney	n_a	n_b
Gm5150	Trop2_KO_vs_WT	7.99882	7.11094	0.887883	2.27215	3.59259	0.00706182	0.712889	0.015873	5	5
Gm11427	Trop2_KO_vs_WT	5.32389	4.70888	0.615014	2.57524	4.07181	0.00712413	0.712889	0.00793651	5	5
Fasl	Trop2_KO_vs_WT	4.9753	4.16668	0.808616	2.43761	3.8542	0.00712576	0.712889	0.031746	5	5
Ovol2	Trop2_KO_vs_WT	2.74999	4.46066	-1.71067	-2.25562	-3.56645	0.00733148	0.712889	0.031746	5	5
Ifnlr1	Trop2_KO_vs_WT	4.84866	6.68158	-1.83292	-2.25248	-3.56149	0.00741329	0.712889	0.015873	5	5
Ralgps2	Trop2_KO_vs_WT	6.40366	7.63361	-1.22995	-2.28767	-3.61713	0.00741718	0.712889	0.031746	5	5
Col6a5	Trop2_KO_vs_WT	2.99774	5.09827	-2.10052	-2.43687	-3.85303	0.0074355	0.712889	0.00793651	5	5
Cd180	Trop2_KO_vs_WT	7.94786	7.4437	0.504157	2.25163	3.56014	0.00744451	0.712889	0.00793651	5	5
Fam98b	Trop2_KO_vs_WT	8.15238	8.54381	-0.391426	-2.44817	-3.8709	0.00745115	0.712889	0.00793651	5	5
Bfar	Trop2_KO_vs_WT	8.87629	8.55338	0.322915	2.25685	3.56839	0.007464	0.712889	0.031746	5	5
Slc26a9	Trop2_KO_vs_WT	2.02795	4.82148	-2.79353	-2.30527	-3.64496	0.00746805	0.712889	0.015873	5	5
Ccr5	Trop2_KO_vs_WT	11.6937	11.025	0.668703	2.32608	3.67785	0.00761395	0.712889	0.015873	5	5
Cd247	Trop2_KO_vs_WT	5.77207	4.88332	0.888757	2.33944	3.69898	0.00763621	0.712889	0.00793651	5	5
Lcp2	Trop2_KO_vs_WT	9.16868	8.81117	0.357517	2.24577	3.55088	0.00764981	0.712889	0.015873	5	5
Hook1	Trop2_KO_vs_WT	8.0024	8.62732	-0.624926	-2.37438	-3.75422	0.00765505	0.712889	0.015873	5	5
6430548M08Rik	Trop2_KO_vs_WT	7.32285	7.90447	-0.581626	-2.37367	-3.7531	0.00771014	0.712889	0.00793651	5	5
Atp6v1e1	Trop2_KO_vs_WT	10.1535	9.80757	0.345949	2.24388	3.54788	0.00771779	0.712889	0.015873	5	5
Cep126	Trop2_KO_vs_WT	6.95723	6.36317	0.59406	2.42252	3.83034	0.0077893	0.712889	0.00793651	5	5
Ccnj	Trop2_KO_vs_WT	7.00866	7.3251	-0.316442	-2.27003	-3.58924	0.0078376	0.712889	0.015873	5	5
Pcnx4	Trop2_KO_vs_WT	8.76318	8.39485	0.368331	2.26259	3.57747	0.00786271	0.712889	0.015873	5	5
Atg12	Trop2_KO_vs_WT	9.11645	8.9311	0.185352	2.23047	3.52668	0.00790206	0.712889	0.015873	5	5
Hmgcs1	Trop2_KO_vs_WT	10.1205	10.6283	-0.507852	-2.24353	-3.54734	0.00790469	0.712889	0.015873	5	5
Sfxn2	Trop2_KO_vs_WT	6.22847	6.8238	-0.595332	-2.27055	-3.59006	0.00794227	0.712889	0.0555556	5	5
Aff2	Trop2_KO_vs_WT	3.69115	4.35408	-0.662935	-2.24355	-3.54736	0.00797713	0.712889	0.00793651	5	5
Sorbs2os	Trop2_KO_vs_WT	4.66718	3.20766	1.45952	2.22133	3.51223	0.00800884	0.712889	0.00793651	5	5
Papss1	Trop2_KO_vs_WT	9.73945	10.2656	-0.526148	-2.2672	-3.58475	0.00804756	0.712889	0.00793651	5	5
Fam149a	Trop2_KO_vs_WT	8.43406	8.92912	-0.49506	-2.52413	-3.991	0.00806241	0.712889	0.00793651	5	5
Lrmda	Trop2_KO_vs_WT	6.21456	5.58772	0.626844	2.28806	3.61774	0.00807624	0.712889	0.00793651	5	5
