accession	entrytype	taxon	n_samples	gds_type	gpl	pdat	title	summary	suppfile	gene_mentioned	matched_queries
GSE134788	GSE	Homo sapiens	20		16686	2020/07/24	Gene expression profiling of Lentivirus-mediated Gene Silencing of RARβ Inhibits A549 Non-Small Cell Lung Cancer stem cells	Retinoic acid Receptor Beta (RARβ) protein encoded by RARβ gene is a nuclear receptor protein that binds to retinoic acid (RA) to mediate RA function in cellular signalling in embryogenic morphogenesis, cell growth and differentiation. However, the function of RARβ in cancer stem cells (CSCs) maintenance of non-small cell lung cancer (NSCLC) is yet to be determined We used microarrays to analyse the trancriptomic changes in lung cancer and cancer stem cells following RARβ silencing.	CEL, CHP	False	TACSTD2 AND lung AND (knockdown OR knockout OR shRNA OR siRNA OR CRISPR)
GSE138248	GSE	Homo sapiens	8		11154	2019/10/02	mRNA sequencing of highly and lowly metastatic human colorectal cancer PDXs	We performed in-vivo selection of human patient derived colorectal cancer xenografts. 4 independent highly-liver metastatic sub-lines (lvm PDXs) were generated. Those lvm PDXs were harvested with the corresponding parental PDX tumors from mice and then we performed MACS mice cell depletion followed by FACS sorting to obtain human EpCAM positive and mice MHC negatitve populations. total RNA was extracted from those ex-vivo tumors and high-throuput sequencing was performed	FPKM_TRACKING, XLSX	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE138494	GSE	Mus musculus	56		19057	2019/11/20	Qualitative changes in cortical thymic epithelial cells drive postpartum thymic regeneration.	During gestation, sex hormones cause a significant thymic involution which enhances fertility. This thymic involution is rapidly corrected following parturition. As thymic epithelial cells (TECs) are responsible for the regulation of thymopoiesis, we analyzed the sequential phenotypic and transcriptomic changes in TECs during the postpartum period in order to identify mechanisms triggering postpartum thymic regeneration. In particular, we performed flow cytometry analyses and deep RNA-sequencing on purified TEC subsets at several time points before and after parturition. We report that pregnancy-induced involution is not caused by loss of TECs since their number does not change during or after pregnancy. However, during pregnancy, we observed a significant depletion of all thymocyte subsets downstream of the double-negative 1 (DN1) differentiation stage. Variations in thymocyte numbers correlated with conspicuous changes in the transcriptome of cortical TECs (cTECs). The transcriptomic changes affected predominantly cTEC expression of Foxn1, its targets and several genes that are essential for thymopoiesis. By contrast, medullary TECs (mTECs) showed very little transcriptomic changes in the early postpartum regenerative phase, but seemed to respond to the expansion of single-positive (SP) thymocytes in the late phase of regeneration. Together, these results show that postpartum thymic regeneration is orchestrated by variations in expression of a well-defined subset of cTEC genes, that occur very early after parturition.	TXT	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE139818	GSE	Mus musculus	30		17021	2020/08/31	Investigation of the gene expression changes triggered by the lung mesenchymal Tsc2KO in each major cell subpopulation of the adult mouse lung	Tumor suppressor Tuberous sclerosis complex 2 (TSC2) is a key negative regulator of mammalian target of rapamycin (mTOR), a central controller of cell growth and metabolism in health and disease. Loss of TSC2 induces the constitutive activation of mTORC1 in rare lung disease pulmonary Lymphangioleiomyomatosis (LAM), which affects only women of childbearing age and characterized by lung destruction and progressive loss of pulmonary function. Little is known how TSC2 loss induces LAM and what is the LAM cell of origin. To determine cell-type specific effects of TSC2 loss and mTORC1 activation on lung homeostasis we generated new transgenic mice with targeted Tsc2 deletion in lung mesenchyme Tbx4-Cre+Tsc2flox/flox and lung epithelium Shh-Cre+Tsc2flox/flox. Both Tbx4-Cre+, Tsc2flox/flox and Shh-Cre+, Tsc2flox/flox mice were viable and fertile. Adult Tbx4-Cre+Tsc2flox/flox mice demonstrated mTORC1 activation in lung mesenchyme, progressive alveolar enlargement, female-specific pulmonary function decline and prgenancy-induced lesion growth. To investigate molecular mechanism underlying observed phenotypic changes in the Tsc2KO lungs we performed comparative bulk-RNAseq analysis of the gene expression changes in the major cell subpopulations of the adult female 8-week-old Tsc2KO mouse lungs compared to the age- and sex-matched WT controls.	CSV	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"");Tacstd2 AND lung AND mouse"
GSE139819	GSE	Homo sapiens; Mus musculus	34		16791;17021	2020/08/31	Comparative analysis of cellular heterogeneity in the LAM lung using bulk RNA-seq and scRNA-seq	This SuperSeries is composed of the SubSeries listed below.	CSV, H5	False	Tacstd2 AND lung AND mouse
GSE140654	GSE	Mus musculus	29		13112;17021	2022/11/02	Sentinel p16INK4a+ cells in the basement membrane form a reparative niche in the lung [RNA-Seq]	We collected freshly sorted mesenchyme (live CD45-Epcam-CD31-PDGFRa+GFP- or GFP+) from dissociated lung tissue of INKBRITE animals to characterize the transcriptome difference between p16INK4a+ vs p16INK4a- cells at homeostasis and during injury. We used fluorescence activated cell sorting (FACS) to exclude immune (CD45+), epithelial (Epcam+), and endothelial (CD31+) cells and positively select for PDGFRa+ mesenchyme. Cells were sequenced at a depth of average of 45 million reads/sample. The results revealed an increase of senescence associated secretory phenotype (SASP) signature in p16INK4+ cells that becomes refined after injury. We found the expression of an epithelial growth factor epiregulin (ereg) increased in p16INK4a+ cells after injury suggesting a possible role of p16INK4a+ senescence during regeneration of lung epithelium.	CSV, MTX, TSV	False	Tacstd2 AND lung AND mouse
GSE140657	GSE	Mus musculus	30		17021;13112	2022/11/02	Sentinel p16INK4a+ cells in the basement membrane form a reparative niche in the lung	This SuperSeries is composed of the SubSeries listed below.	MTX, TSV	False	Tacstd2 AND lung AND mouse
GSE146811	GSE	Mus musculus	27		17021;19057	2020/05/01	Differentiated prostate luminal cells acquire enhanced regenerative potential after androgen ablation	Cells in the prostate are postulated to have stem cell properties based on organ regeneration following castration. Through single cell RNA-seq (scRNA-Seq) analysis, we identify a rare luminal cell population in the mouse prostate that expresses stem-like markers (Sca1+, Psca+), as well as a larger population of more differentiated cells (Nkx3.1+, Pbsn+, CD133/Prom1+). Unexpectedly, both populations acquire enhanced organoid regeneration potential following castration and contribute equipotently to prostatic regeneration, as revealed by lineage tracing. Regeneration is mediated, in part, by androgen-driven expression of Nrg2, Igf1, Fgf10 and Rspo3 by distinct populations of mesenchymal cells acting in a paracrine fashion on luminal cells. Human prostate tissue contains similar differentiated and stem-like luminal subpopulations which also, collectively. acquire enhanced regenerative potential after androgen ablation therapy. Thus, nearly all luminal cells that persist post-castration contribute to prostate regeneration, not just rare stem cells.	H5, TSV	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE146972	GSE	Mus musculus	201		16417	2020/03/17	An engineered CRISPR/Cas9 mouse line for simultaneous readout of lineage histories and gene expression profiles in single cells	Tracing the lineage history of cells is key to answering diverse and fundamental questions in biology. Coupling of cell ancestry information with other molecular readouts represents an important goal in the field. Here, we describe the CARLIN (for CRISPR Array Repair LINeage tracing) mouse line and corresponding analysis tools that can be used to simultaneously interrogate the lineage and transcriptomic information of single cells in vivo. This model exploits CRISPR technology to generate up to 44,000 transcribed barcodes in an inducible fashion at any point during development or adulthood, is compatible with sequential barcoding, and is fully genetically defined. We have used CARLIN to identify intrinsic biases in the activity of fetal liver hematopoietic stem cell (HSC) clones and to uncover a previously unappreciated clonal bottleneck in the response of HSCs to injury. CARLIN also allows the unbiased identification of transcriptional signatures associated with HSC activity without cell sorting.	H5	False	TACSTD2 AND doxycycline;TACSTD2 AND lung AND (knockdown OR knockout OR shRNA OR siRNA OR CRISPR)
GSE148345	GSE	Homo sapiens	1441		16791	2020/04/09	Zonation of ribosomal DNA transcription defines a stem cell hierarchy in colorectal cancer	Colorectal cancers (CRCs) are composed of an amalgam of cells with distinct genotypes and phenotypes. Here we reveal a previously unappreciated heterogeneity in the biosynthetic capacities of CRC cells. We discover that the majority of ribosomal DNA transcription and protein synthesis in CRCs occur in a limited subset of tumor cells that localize in defined niches. The rest of the tumor cells undergo an irreversible loss of their biosynthetic capacities as a consequence of differentiation. Cancer cells within the biosynthetic domains are characterized by elevated levels of the RNA Polymerase 1 subunit A - POLR1A. Genetic ablation of POLR1A-high cell population imposes an irreversible growth arrest to CRCs. We show that elevated biosynthesis defines stemness in both LGR5+ and LGR5- tumor cells. Therefore, a common architecture in CRC is a simple cell hierarchy based on the differential capacity to transcribe ribosomal DNA and synthesize proteins.	TSV	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
