gene	spearman_r	spearman_p	n_expr	padj
ATP2B3	-0.02807234875621138	0.00461112013984493	14	0.008807550484450246
SOCS2-AS1	-0.028082723834748583	0.004596032881637328	283	0.008780195072790624
RPL21P127	-0.028085565208272465	0.004591908810376093	73	0.008773047167450176
CLEC4E	-0.028096729581656564	0.004575736870199738	375	0.008743606491889504
CD7	-0.028099976994846815	0.004571042584570119	372	0.008735364059390936
CDYL2	-0.028103808746623563	0.0045655092198963795	320	0.008725516621061753
AC079587.1	-0.028105110394646148	0.004563630913899344	17	0.008723380491918595
SS18L1	-0.028107377422606477	0.0045603612147593455	1049	0.008717856950091663
DPY19L3	-0.028109715632259193	0.00455699107407602	1806	0.008712140461506564
RPL12P43	-0.028111049126592243	0.004555070073734552	25	0.00870919374437969
SNHG1	-0.028115313135536227	0.0045489323644957065	5337	0.008698183609269966
AL590867.1	-0.028123526140614964	0.00453713148592936	16	0.008676341977844742
TRPM7	-0.02812824803765719	0.004530359375582762	3105	0.008664836434346485
AC112653.1	-0.028134382629138296	0.0045215748632689385	20	0.008648756188597641
AC231981.1	-0.028137405400348463	0.004517252041316212	55	0.008641928884379589
LCAT	-0.02814923944131586	0.004500364341078861	439	0.008611057495467712
AC007938.2	-0.028152220585317845	0.004496119144787024	19	0.00860365236865978
AC104115.1	-0.028154331485561464	0.004493115383476948	53	0.008598621780927266
PPIEL	-0.028157219500596086	0.00448900875107959	171	0.008591479577160086
AC108704.1	-0.028163973211524435	0.004479418536461921	27	0.00857384031953968
AC117395.1	-0.028171941341895743	0.004468127726150058	30	0.008554370568602792
ZDHHC13	-0.02817365560727728	0.004465701991502338	2229	0.008550440090240453
AC004584.2	-0.028175079426222882	0.0044636881539783825	27	0.00854729767726489
LIPJ	-0.028177202691308672	0.004460686554052258	12	0.008542263163871322
FGF18	-0.028186840438801538	0.004447084918774362	97	0.008516926932190557
BCLAF3	-0.028187820752692525	0.004445703521449486	1290	0.008514992265782256
ZNF70	-0.028188828618386542	0.004444283705189642	422	0.008512983685147392
ZNF829	-0.028192558724768075	0.004439032544999417	322	0.00850363525281415
GNMT	-0.028196457422072087	0.004433550055617706	86	0.00849384207598421
